#,R_fighter,B_fighter,date,location,country,Winner,weight_class,gender,no_of_rounds,B_losses,B_total_rounds_fought,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_losses,R_total_rounds_fought,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,win_dif,loss_dif,height_dif,reach_dif,age_dif,better_rank
33,Carlos Condit,Matt Brown,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Welterweight,MALE,3,11,58,15,Orthodox,182.88,190.5,170,10,60,13,Orthodox,187.96,190.5,170,36,40,1,-1,2,1,-5.08,0.0,4,neither
34,Santiago Ponzinibbio,Li Jingliang,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Welterweight,MALE,3,4,32,9,Orthodox,182.88,180.34,170,2,25,9,Orthodox,182.88,185.42,170,34,32,1,-7,0,2,0.0,-5.08,-2,neither
35,Joaquin Buckley,Alessio Di Chirico,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Middleweight,MALE,3,5,21,3,Orthodox,182.88,187.96,185,1,7,2,Southpaw,177.8,193.04,185,26,31,3,-2,1,4,5.08,-5.08,5,neither
36,Punahele Soriano,Dusko Todorovic,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Middleweight,MALE,3,0,5,2,Orthodox,185.42,187.96,185,0,4,2,Southpaw,180.34,182.88,185,28,26,0,0,0,0,5.08,5.08,-2,neither
37,Wu Yanan,Joselyne Edwards,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Bantamweight,FEMALE,3,0,0,0,Orthodox,172.72,177.8,135,2,7,1,Orthodox,172.72,167.64,125,24,25,-1,0,-1,-2,0.0,10.16,1,neither
38,Carlos Felipe,Justin Tafa,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Heavyweight,MALE,3,1,2,1,Southpaw,182.88,187.96,264,1,6,1,Orthodox,182.88,190.5,245,26,27,0,0,0,0,0.0,-2.54,1,neither
39,David Zawada,Ramazan Emeev,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Welterweight,MALE,3,1,15,4,Southpaw,177.8,193.04,170,2,7,1,Orthodox,182.88,190.5,170,30,33,0,0,3,-1,-5.08,2.54,3,neither
40,Sarah Moras,Vanessa Melo,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Bantamweight,FEMALE,3,3,9,0,Orthodox,165.1,165.1,135,5,21,3,Orthodox,170.18,170.18,135,32,32,2,0,-3,-2,-5.08,-5.08,0,neither
41,Jacob Kilburn,Austin Lingo,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Featherweight,MALE,3,1,3,0,Orthodox,177.8,177.8,145,2,4,0,Orthodox,175.26,182.88,145,25,26,-1,0,0,-1,2.54,-5.08,1,neither
42,Stephen Thompson,Geoff Neal,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,Welterweight,MALE,5,1,1,6,Southpaw,180.34,190.5,170,4,5,11,Orthodox,182.88,190.5,170,37,30,1,-2,-5,-3,-2.54,0.0,-7,neither
43,Jose Aldo,Marlon Vera,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,Bantamweight,MALE,3,6,0,10,Switch,172.72,177.8,135,6,3,19,Orthodox,170.18,177.8,135,34,28,1,-1,-9,0,2.54,0.0,-6,neither
44,Michel Pereira,Khaos Williams,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,Welterweight,MALE,3,1,0,2,Orthodox,182.88,195.58,170,2,0,3,Orthodox,185.42,185.42,170,27,26,1,-2,-1,-1,-2.54,10.16,-1,neither
45,Marlon Moraes,Rob Font,12/19/2020,"Las Vegas, Nevada, USA",USA,Blue,Bantamweight,MALE,3,4,2,5,Orthodox,167.64,170.18,135,3,0,8,Orthodox,172.72,180.34,135,33,32,2,-3,-3,1,-5.08,-10.16,-1,neither
46,Marcin Tybura,Greg Hardy,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,Heavyweight,MALE,3,3,0,6,Orthodox,195.58,203.2,265,5,4,8,Orthodox,190.5,198.12,249,35,32,1,-4,-2,-2,5.08,5.08,-3,neither
47,Anthony Pettis,Alex Morono,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,Welterweight,MALE,3,4,2,7,Orthodox,180.34,182.88,170,10,2,16,Orthodox,177.8,182.88,155,33,30,1,-2,-9,-6,2.54,0.0,-3,neither
48,Sijara Eubanks,Pannie Kianzad,12/19/2020,"Las Vegas, Nevada, USA",USA,Blue,Women's Bantamweight,FEMALE,3,4,0,4,Orthodox,162.56,170.18,135,2,2,3,Orthodox,170.18,167.64,135,29,35,2,-3,1,2,-7.62,2.54,6,neither
49,Deron Winn,Antonio Arroyo,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,Catch Weight,MALE,3,2,0,2,Orthodox,190.5,185.42,185,2,1,2,Orthodox,167.64,177.8,185,31,31,2,-1,0,0,22.86,7.62,0,neither
50,Gillian Robertson,Taila Santos,12/19/2020,"Las Vegas, Nevada, USA",USA,Blue,Women's Flyweight,FEMALE,3,3,0,6,Orthodox,165.1,160.02,125,1,0,3,Orthodox,167.64,172.72,125,27,25,1,-2,3,2,-2.54,-12.7,-2,neither
51,Tafon Nchukwi,Jamie Pickett,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,Middleweight,MALE,3,3,0,1,Orthodox,187.96,203.2,185,0,0,2,Orthodox,182.88,195.58,205,26,32,1,-2,-1,3,5.08,7.62,6,neither
52,Jimmy Flick,Cody Durden,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,Flyweight,MALE,3,1,0,0,Southpaw,170.18,170.18,125,0,0,2,Orthodox,170.18,172.72,125,30,29,1,-2,-2,1,0.0,-2.54,-1,neither
53,Christos Giagos,Carlton Minus,12/19/2020,"Las Vegas, Nevada, USA",USA,Red,Catch Weight,MALE,3,2,1,0,Orthodox,177.8,190.5,170,4,0,4,Orthodox,177.8,180.34,155,30,27,2,-1,-4,-2,0.0,10.16,-3,neither
54,Tony Ferguson,Charles Oliveira,12/12/2020,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,3,4,15,Orthodox,180.34,193.04,155,8,2,18,Orthodox,177.8,187.96,155,31,36,2,-8,-3,-5,2.54,5.08,5,neither
55,Mackenzie Dern,Virna Jandiroba,12/12/2020,"Las Vegas, Nevada, USA",USA,Red,Women's Strawweight,FEMALE,3,2,0,2,Orthodox,160.02,162.56,115,1,1,5,Orthodox,162.56,160.02,115,27,32,1,-3,-3,1,-2.54,2.54,5,neither
56,Kevin Holland,Jacare Souza,12/12/2020,"Las Vegas, Nevada, USA",USA,Red,Middleweight,MALE,3,8,3,19,Orthodox,185.42,182.88,185,2,0,9,Orthodox,190.5,205.74,185,28,41,3,-5,10,6,-5.08,-22.86,13,neither
57,Junior Dos Santos,Ciryl Gane,12/12/2020,"Las Vegas, Nevada, USA",USA,Blue,Heavyweight,MALE,3,8,6,15,Orthodox,193.04,195.58,238,0,0,4,Orthodox,193.04,205.74,245,30,36,4,-4,11,8,0.0,-10.16,6,neither
58,Cub Swanson,Daniel Pineda,12/12/2020,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,5,1,4,Orthodox,170.18,175.26,145,10,2,17,Orthodox,172.72,177.8,145,37,35,1,-2,-13,-5,-2.54,-2.54,-2,neither
59,Renato Moicano,Rafael Fiziev,12/12/2020,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,4,1,6,Orthodox,180.34,182.88,155,1,1,3,Switch,172.72,180.34,155,27,31,1,-3,3,3,7.62,2.54,4,neither
60,Gavin Tucker,Billy Quarantillo,12/12/2020,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,1,0,4,Orthodox,177.8,177.8,145,1,2,4,Southpaw,167.64,167.64,145,34,32,1,-3,0,0,10.16,10.16,-2,neither
61,Tecia Torres,Sam Hughes,12/12/2020,"Las Vegas, Nevada, USA",USA,Red,Women's Strawweight,FEMALE,3,1,0,0,Orthodox,165.1,162.56,115,5,0,8,Orthodox,154.94,152.4,115,31,28,1,-2,-8,-4,10.16,10.16,-3,neither
62,Chase Hooper,Peter Barrett,12/12/2020,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,2,1,1,Southpaw,177.8,185.42,145,1,2,3,Southpaw,185.42,187.96,145,21,34,2,-1,-2,1,-7.62,-2.54,13,neither
