,Red,R_Reach_cms,Blue,B_Reach_cms,reach_dif,ganador,mejor_alcance
0,Molly McCann,157.48,Lara Procopio,170.18,12.7,Lara Procopio,largo
1,Andrew Sanchez,187.96,Makhmud Muradov,190.5,2.54,Makhmud Muradov,largo
2,Nik Lentz,172.72,Movsar Evloev,182.88,10.16,Movsar Evloev,largo
3,Victoria Leonardo,162.56,Manon Fiorot,170.18,7.62,Manon Fiorot,largo
4,Wu Yanan,167.64,Joselyne Edwards,177.8,10.16,Joselyne Edwards,largo
5,David Zawada,190.5,Ramazan Emeev,193.04,2.54,Ramazan Emeev,largo
6,Sijara Eubanks,167.64,Pannie Kianzad,170.18,2.54,Pannie Kianzad,largo
7,Tony Ferguson,187.96,Charles Oliveira,193.04,5.08,Charles Oliveira,largo
8,Renato Moicano,180.34,Rafael Fiziev,182.88,2.54,Rafael Fiziev,largo
9,Matt Wiman,172.72,Jordan Leavitt,180.34,7.62,Jordan Leavitt,largo
10,Gian Villante,193.04,Jake Collier,198.12,5.08,Jake Collier,largo
11,Spike Carlyle,180.34,Bill Algeo,185.42,5.08,Bill Algeo,largo
12,Luke Sanders,170.18,Nate Maness,182.88,12.7,Nate Maness,largo
13,Mike Perry,180.34,Tim Means,190.5,10.16,Tim Means,largo
14,Louis Cosce,180.34,Sasha Palatnikov,182.88,2.54,Sasha Palatnikov,largo
15,Abdul Razak Alhassan,185.42,Khaos Williams,195.58,10.16,Khaos Williams,largo
16,Brendan Allen,190.5,Sean Strickland,193.04,2.54,Sean Strickland,largo
17,Chris Gruetzemacher,172.72,Alexander Hernandez,182.88,10.16,Alexander Hernandez,largo
18,Jacob Malkoun,185.42,Phillip Hawes,195.58,10.16,Phillip Hawes,largo
19,Alex Oliveira,193.04,Shavkat Rakhmonov,195.58,2.54,Shavkat Rakhmonov,largo
20,Liana Jojua,157.48,Miranda Maverick,165.1,7.62,Miranda Maverick,largo
21,Claudio Silva,180.34,James Krause,185.42,5.08,James Krause,largo
22,Mateusz Gamrot,177.8,Guram Kutateladze,182.88,5.08,Guram Kutateladze,largo
23,Jamie Mullarkey,187.96,Fares Ziam,190.5,2.54,Fares Ziam,largo
24,Gadzhimurad Antigulov,177.8,Maxim Grishin,198.12,20.32,Maxim Grishin,largo
25,Marlon Moraes,170.18,Cory Sandhagen,177.8,7.62,Cory Sandhagen,largo
26,Impa Kasanganay,190.5,Joaquin Buckley,193.04,2.54,Joaquin Buckley,largo
27,Ali AlQaisi,172.72,Tony Kelley,177.8,5.08,Tony Kelley,largo
28,Bruno Silva,165.1,Tagir Ulanbekov,167.64,2.54,Tagir Ulanbekov,largo
29,Yorgan De Castro,187.96,Carlos Felipe,190.5,2.54,Carlos Felipe,largo
30,Dominick Reyes,195.58,Jan Blachowicz,198.12,2.54,Jan Blachowicz,largo
31,Diego Sanchez,182.88,Jake Matthews,185.42,2.54,Jake Matthews,largo
32,Mirsad Bektic,177.8,Damon Jackson,180.34,2.54,Damon Jackson,largo
33,Journey Newson,170.18,Randy Costa,185.42,15.24,Randy Costa,largo
34,Brok Weaver,185.42,Jalin Turner,195.58,10.16,Jalin Turner,largo
35,Cole Smith,170.18,Hunter Azure,175.26,5.08,Hunter Azure,largo
36,Anthony Smith,193.04,Aleksandar Rakic,198.12,5.08,Aleksandar Rakic,largo
37,Robbie Lawler,187.96,Neil Magny,203.2,15.24,Neil Magny,largo
38,Alessio Di Chirico,187.96,Zak Cummings,190.5,2.54,Zak Cummings,largo
39,Pedro Munhoz,165.1,Frankie Edgar,172.72,7.62,Frankie Edgar,largo
40,Marcin Prachnio,187.96,Mike Rodriguez,208.28,20.32,Mike Rodriguez,largo
41,Mariya Agapova,172.72,Shana Dobson,175.26,2.54,Shana Dobson,largo
42,Ike Villanueva,185.42,Jordan Wright,195.58,10.16,Jordan Wright,largo
43,Timur Valiev,170.18,Trevin Jones,177.8,7.62,Trevin Jones,largo
44,Junior Dos Santos,195.58,Jairzinho Rozenstruik,198.12,2.54,Jairzinho Rozenstruik,largo
45,John Dodson,167.64,Merab Dvalishvili,172.72,5.08,Merab Dvalishvili,largo
46,Jim Miller,180.34,Vinc Pichel,182.88,2.54,Vinc Pichel,largo
47,Omari Akhmedov,185.42,Chris Weidman,198.12,12.7,Chris Weidman,largo
48,Frankie Saenz,167.64,Jonathan Martinez,177.8,10.16,Jonathan Martinez,largo
49,Johnny Munoz,180.34,Nate Maness,182.88,2.54,Nate Maness,largo
50,Bethe Correia,162.56,Pannie Kianzad,167.64,5.08,Pannie Kianzad,largo
51,Joe Duffy,185.42,Joel Alvarez,195.58,10.16,Joel Alvarez,largo
52,Davi Ramos,177.8,Arman Tsarukyan,182.88,5.08,Arman Tsarukyan,largo
53,Carlos Felipe,190.5,Serghei Spivac,198.12,7.62,Serghei Spivac,largo
54,Molly McCann,157.48,Taila Santos,172.72,15.24,Taila Santos,largo
55,Ricardo Ramos,182.88,Lerone Murphy,185.42,2.54,Lerone Murphy,largo
56,Jessica Andrade,157.48,Rose Namajunas,165.1,7.62,Rose Namajunas,largo
57,Volkan Oezdemir,190.5,Jiri Prochazka,193.04,2.54,Jiri Prochazka,largo
58,Gian Villante,193.04,Maurice Greene,203.2,10.16,Maurice Greene,largo
59,Clay Guida,177.8,Bobby Green,180.34,2.54,Bobby Green,largo
60,Eddie Wineland,175.26,Sean O'Malley,182.88,7.62,Sean O'Malley,largo
61,Charles Byrd,185.42,Maki Pitolo,190.5,5.08,Maki Pitolo,largo
62,Evan Dunham,177.8,Herbert Burns,185.42,7.62,Herbert Burns,largo
63,Blagoy Ivanov,185.42,Augusto Sakai,195.58,10.16,Augusto Sakai,largo
64,Tim Elliott,167.64,Brandon Royval,172.72,5.08,Brandon Royval,largo
65,Gabriel Benitez,180.34,Omar Morales,185.42,5.08,Omar Morales,largo
66,Jeremy Stephens,180.34,Calvin Kattar,182.88,2.54,Calvin Kattar,largo
67,Jussier Formiga,170.18,Brandon Moreno,177.8,7.62,Brandon Moreno,largo
68,Mayra Bueno Silva,167.64,Maryna Moroz,170.18,2.54,Maryna Moroz,largo
69,Bruno Silva,165.1,David Dvorak,172.72,7.62,David Dvorak,largo
70,Veronica Macedo,162.56,Bea Malecki,187.96,25.4,Bea Malecki,largo
71,Joseph Benavidez,165.1,Deiveson Figueiredo,172.72,7.62,Deiveson Figueiredo,largo
72,Paul Felder,177.8,Dan Hooker,190.5,12.7,Dan Hooker,largo
73,Ben Sosoli,182.88,Marcos Rogerio De Lima,190.5,7.62,Marcos Rogerio De Lima,largo
74,Loma Lookboonmee,154.94,Angela Hill,162.56,7.62,Angela Hill,largo
75,Emily Whitmire,160.02,Amanda Ribas,167.64,7.62,Amanda Ribas,largo
76,Bryan Barberena,182.88,Randy Brown,198.12,15.24,Randy Brown,largo
77,Matt Wiman,172.72,Luis Pena,190.5,17.78,Luis Pena,largo
78,Allen Crowder,193.04,Jairzinho Rozenstruik,198.12,5.08,Jairzinho Rozenstruik,largo
79,Diego Sanchez,182.88,Michael Chiesa,190.5,7.62,Michael Chiesa,largo
80,Ismail Naurdiev,187.96,Chance Rencountre,190.5,2.54,Chance Rencountre,largo
81,Mark De La Rosa,165.1,Raulian Paiva,175.26,10.16,Raulian Paiva,largo
82,Rafael Dos Anjos,177.8,Leon Edwards,187.96,10.16,Leon Edwards,largo
83,Olivier Aubin-Mercier,177.8,Arman Tsarukyan,182.88,5.08,Arman Tsarukyan,largo
84,Marc-Andre Barriault,187.96,Krzystof Jotko,195.58,7.62,Krzystof Jotko,largo
85,Alexandre Pantoja,170.18,Deiveson Figueiredo,172.72,2.54,Deiveson Figueiredo,largo
86,Joaquim Silva,175.26,Nasrat Haqparast,182.88,7.62,Nasrat Haqparast,largo
87,Trevin Giles,187.96,Gerald Meerschaert,195.58,7.62,Gerald Meerschaert,largo
88,Darko Stosic,193.04,Kennedy Nzechukwu,210.82,17.78,Kennedy Nzechukwu,largo
89,Jordan Espinosa,175.26,Matt Schnell,177.8,2.54,Matt Schnell,largo
90,Mirsad Bektic,177.8,Dan Ige,180.34,2.54,Dan Ige,largo
91,Miles Johns,167.64,Mario Bautista,175.26,7.62,Mario Bautista,largo
92,Austin Lingo,177.8,Youssef Zalel,182.88,5.08,Youssef Zalel,largo
93,Tecia Torres,152.4,Marina Rodriguez,165.1,12.7,Marina Rodriguez,largo
94,Kazula Vargas,180.34,Alex Da Silva,185.42,5.08,Alex Da Silva,largo
95,Daniel Cormier,182.88,Stipe Miocic,203.2,20.32,Stipe Miocic,largo
96,Anthony Pettis,182.88,Nate Diaz,193.04,10.16,Nate Diaz,largo
97,Raphael Assuncao,167.64,Cory Sandhagen,177.8,10.16,Cory Sandhagen,largo
98,Jessica Andrade,157.48,Zhang Weili,160.02,2.54,Zhang Weili,largo
99,Junyong Park,185.42,Anthony Hernandez,190.5,5.08,Anthony Hernandez,largo
100,Mairbek Taisumov,185.42,Diego Ferreira,187.96,2.54,Diego Ferreira,largo
101,Liana Jojua,157.48,Sarah Moras,170.18,12.7,Sarah Moras,largo
102,Brad Katona,162.56,Hunter Azure,175.26,12.7,Hunter Azure,largo
103,Kyle Prepolec,177.8,Austin Hubbard,180.34,2.54,Austin Hubbard,largo
104,Ariane Carnelossi,154.94,Angela Hill,162.56,7.62,Angela Hill,largo
105,Michal Oleksiejczuk,187.96,Ovince Saint Preux,203.2,15.24,Ovince Saint Preux,largo
106,Alen Amedovski,187.96,John Phillips,190.5,2.54,John Phillips,largo
107,Alessio Di Chirico,187.96,Makhmud Muradov,190.5,2.54,Makhmud Muradov,largo
108,Siyar Bahadurzada,185.42,Ismail Naurdiev,187.96,2.54,Ismail Naurdiev,largo
109,Brandon Davis,182.88,Giga Chikadze,187.96,5.08,Giga Chikadze,largo
110,Robert Whittaker,185.42,Israel Adesanya,203.2,17.78,Israel Adesanya,largo
111,Al Iaquinta,177.8,Dan Hooker,190.5,12.7,Dan Hooker,largo
112,Tai Tuivasa,190.5,Serghei Spivac,198.12,7.62,Serghei Spivac,largo
113,Luke Jumeau,182.88,Dhiego Lima,190.5,7.62,Dhiego Lima,largo
114,Nadia Kassem,167.64,Ji Yeon Kim,182.88,15.24,Ji Yeon Kim,largo
115,Rafael Dos Anjos,177.8,Michael Chiesa,190.5,12.7,Michael Chiesa,largo
116,Hannah Cifers,157.48,Angela Hill,162.56,5.08,Angela Hill,largo
117,Mackenzie Dern,160.02,Amanda Ribas,167.64,7.62,Amanda Ribas,largo
118,Deron Winn,177.8,Darren Stewart,187.96,10.16,Darren Stewart,largo
119,Kyle Bochniak,177.8,Sean Woodson,198.12,20.32,Sean Woodson,largo
120,Enrique Barzola,177.8,Movsar Evloev,182.88,5.08,Movsar Evloev,largo
121,Maurice Greene,203.2,Sergei Pavlovich,213.36,10.16,Sergei Pavlovich,largo
122,Anthony Pettis,182.88,Diego Ferreira,187.96,5.08,Diego Ferreira,largo
123,Tim Elliott,167.64,Askar Askarov,170.18,2.54,Askar Askarov,largo
124,Kelvin Gastelum,180.34,Darren Till,187.96,7.62,Darren Till,largo
125,Andrei Arlovski,195.58,Jairzinho Rozenstruik,198.12,2.54,Jairzinho Rozenstruik,largo
126,Julio Arce,177.8,Hakeem Dawodu,185.42,7.62,Hakeem Dawodu,largo
127,Abubakar Nurmagomedov,182.88,David Zawada,190.5,7.62,David Zawada,largo
128,Jessica-Rose Clark,162.56,Pannie Kianzad,167.64,5.08,Pannie Kianzad,largo
129,Grigorii Popov,170.18,Davey Grant,175.26,5.08,Davey Grant,largo
130,Antonio Arroyo,185.42,Andre Muniz,198.12,12.7,Andre Muniz,largo
131,Sergio Moraes,182.88,James Krause,185.42,2.54,James Krause,largo
132,Warlley Alves,182.88,Randy Brown,198.12,15.24,Randy Brown,largo
133,Frankie Edgar,172.72,Chan Sung Jung,182.88,10.16,Chan Sung Jung,largo
134,Dong Hyun Ma,179.07,Omar Antonio Morales Ferrer,185.42,6.35,Omar Antonio Morales Ferrer,largo
135,Max Holloway,175.26,Alexander Volkanovski,181.61,6.35,Alexander Volkanovski,largo
136,Ketlen Vieira,172.72,Irene Aldana,173.99,1.27,Irene Aldana,largo
137,Ian Heinisch,182.88,Omari Akhmedov,185.42,2.54,Omari Akhmedov,largo
138,Thiago Alves,177.8,Tim Means,190.5,12.7,Tim Means,largo
139,Karolina Kowalkiewicz,162.56,Alexa Grasso,167.64,5.08,Alexa Grasso,largo
140,Ricardo Lamas,180.34,Calvin Kattar,182.88,2.54,Calvin Kattar,largo
141,Damir Hadzovic,177.8,Christos Giagos,180.34,2.54,Christos Giagos,largo
142,Rostem Akman,182.88,Sergey Khandozhko,187.96,5.08,Sergey Khandozhko,largo
143,Stevie Ray,177.8,Leonardo Santos,190.5,12.7,Leonardo Santos,largo
144,Nick Hein,167.64,Frank Camacho,185.42,17.78,Frank Camacho,largo
145,Michael Trizano,180.34,Grant Dawson,182.88,2.54,Grant Dawson,largo
146,Patrick Cummins,193.04,Ed Herman,195.58,2.54,Ed Herman,largo
147,Jose Aldo,177.8,Alexander Volkanovski,180.34,2.54,Alexander Volkanovski,largo
148,Thiago Alves,177.8,Laureano Staropoli,180.34,2.54,Laureano Staropoli,largo
149,Rogerio Nogueira,190.5,Ryan Spann,200.66,10.16,Ryan Spann,largo
150,Al Iaquinta,177.8,Donald Cerrone,185.42,7.62,Donald Cerrone,largo
151,Cub Swanson,177.8,Shane Burgos,190.5,12.7,Shane Burgos,largo
152,Brad Katona,162.56,Merab Dvalishvili,172.72,10.16,Merab Dvalishvili,largo
153,Aiemann Zahabi,172.72,Vince Morales,177.8,5.08,Vince Morales,largo
154,Mitch Gagnon,165.1,Cole Smith,170.18,5.08,Cole Smith,largo
155,Jacare Souza,182.88,Jack Hermansson,195.58,12.7,Jack Hermansson,largo
156,John Lineker,170.18,Cory Sandhagen,177.8,7.62,Cory Sandhagen,largo
157,Gadzhimurad Antigulov,177.8,Michal Oleksiejczuk,187.96,10.16,Michal Oleksiejczuk,largo
158,Max Holloway,175.26,Dustin Poirier,182.88,7.62,Dustin Poirier,largo
159,Kelvin Gastelum,180.34,Israel Adesanya,203.2,22.86,Israel Adesanya,largo
160,Eryk Anders,190.5,Khalil Rountree Jr.,193.04,2.54,Khalil Rountree Jr.,largo
161,Alan Jouban,185.42,Dwight Grant,193.04,7.62,Dwight Grant,largo
162,Wilson Reis,165.1,Alexandre Pantoja,170.18,5.08,Alexandre Pantoja,largo
163,Ross Pearson,175.26,Desmond Green,185.42,10.16,Desmond Green,largo
164,Enrique Barzola,177.8,Kevin Aguilar,185.42,7.62,Kevin Aguilar,largo
165,Ray Borg,160.02,Casey Kenney,172.72,12.7,Casey Kenney,largo
166,Eric Shelton,172.72,Jordan Espinosa,180.34,7.62,Jordan Espinosa,largo
167,Volkan Oezdemir,190.5,Dominick Reyes,195.58,5.08,Dominick Reyes,largo
168,Tim Means,190.5,Niko Price,193.04,2.54,Niko Price,largo
169,Louis Smolka,172.72,Matt Schnell,177.8,5.08,Matt Schnell,largo
170,Tyron Woodley,187.96,Kamaru Usman,193.04,5.08,Kamaru Usman,largo
171,Tecia Torres,152.4,Weili Zhang,160.02,7.62,Weili Zhang,largo
172,Jeremy Stephens,180.34,Zabit Magomedsharipov,185.42,5.08,Zabit Magomedsharipov,largo
173,Misha Cirkunov,195.58,Johnny Walker,208.28,12.7,Johnny Walker,largo
174,Gina Mazany,172.72,Macy Chiasson,182.88,10.16,Macy Chiasson,largo
175,John Dodson,167.64,Petr Yan,170.18,2.54,Petr Yan,largo
176,Michel Prazeres,170.18,Ismail Naurdiev,187.96,17.78,Ismail Naurdiev,largo
177,Rustam Khabilov,185.42,Diego Ferreira,187.96,2.54,Diego Ferreira,largo
178,Jimmie Rivera,172.72,Aljamain Sterling,180.34,7.62,Aljamain Sterling,largo
179,Ashlee Evans-Smith,170.18,Andrea Lee,175.26,5.08,Andrea Lee,largo
180,Rani Yahya,170.18,Ricky Simon,175.26,5.08,Ricky Simon,largo
181,Teruto Ishihara,175.26,Kyung Ho Kang,185.42,10.16,Kyung Ho Kang,largo
182,Callan Potter,182.88,Jalin Turner,195.58,12.7,Jalin Turner,largo
183,Wuliji Buren,175.26,Jonathan Martinez,177.8,2.54,Jonathan Martinez,largo
184,Raphael Assuncao,167.64,Marlon Moraes,170.18,2.54,Marlon Moraes,largo
185,Junior Albini,187.96,Jairzinho Rozenstruik,198.12,10.16,Jairzinho Rozenstruik,largo
186,Magomed Bibulatov,165.1,Rogerio Bontorin,170.18,5.08,Rogerio Bontorin,largo
187,Alexander Hernandez,182.88,Donald Cerrone,185.42,2.54,Donald Cerrone,largo
188,Belal Muhammad,182.88,Geoff Neal,190.5,7.62,Geoff Neal,largo
189,Cris Cyborg,172.72,Amanda Nunes,175.26,2.54,Amanda Nunes,largo
190,Ilir Latifi,185.42,Corey Anderson,200.66,15.24,Corey Anderson,largo
191,Chad Mendes,167.64,Alexander Volkanovski,180.34,12.7,Alexander Volkanovski,largo
192,Cat Zingano,172.72,Megan Anderson,182.88,10.16,Megan Anderson,largo
193,BJ Penn,177.8,Ryan Hall,180.34,2.54,Ryan Hall,largo
194,Brian Kelleher,167.64,Montel Jackson,190.5,22.86,Montel Jackson,largo
195,Jim Miller,180.34,Charles Oliveira,187.96,7.62,Charles Oliveira,largo
196,Jared Gordon,172.72,Joaquim Silva,175.26,2.54,Joaquim Silva,largo
197,Adam Milstead,193.04,Mike Rodriguez,208.28,15.24,Mike Rodriguez,largo
198,Claudia Gadelha,160.02,Nina Ansaroff,162.56,2.54,Nina Ansaroff,largo
199,Olivier Aubin-Mercier,177.8,Gilbert Burns,180.34,2.54,Gilbert Burns,largo
200,Chad Laprise,180.34,Dhiego Lima,187.96,7.62,Dhiego Lima,largo
201,Devin Clark,190.5,Aleksandar Rakic,198.12,7.62,Aleksandar Rakic,largo
202,Mark Hunt,182.88,Justin Willis,198.12,15.24,Justin Willis,largo
203,Suman Mokhtarian,170.18,Sodiq Yusuff,180.34,10.16,Sodiq Yusuff,largo
204,Elias Garcia,170.18,Kai Kara-France,175.26,5.08,Kai Kara-France,largo
205,Mizuto Hirota,170.18,Christos Giagos,180.34,10.16,Christos Giagos,largo
206,Alex Gorgees,187.96,Damir Ismagulov,188.0,0.04,Damir Ismagulov,largo
207,Rafael Dos Anjos,177.8,Kamaru Usman,193.04,15.24,Kamaru Usman,largo
208,Pannie Kianzad,172.72,Macy Chiasson,182.88,10.16,Macy Chiasson,largo
209,Darren Stewart,187.96,Edmen Shahbazyan,188.0,0.04,Edmen Shahbazyan,largo
210,Rick Glenn,177.8,Kevin Aguilar,185.42,7.62,Kevin Aguilar,largo
211,Julija Stoliarenko,167.64,Leah Letson,180.34,12.7,Leah Letson,largo
212,Curtis Blaydes,203.2,Francis Ngannou,210.82,7.62,Francis Ngannou,largo
213,Song Kenan,180.34,Alex Morono,182.88,2.54,Alex Morono,largo
214,Hu Yaozong,182.88,Rashad Coulter,193.04,10.16,Rashad Coulter,largo
215,Khalil Rountree Jr.,193.04,Johnny Walker,208.28,15.24,Johnny Walker,largo
216,Guido Cannetti,172.72,Marlon Vera,177.8,5.08,Marlon Vera,largo
217,Humberto Bandenay,181.61,Austin Arnett,182.88,1.27,Austin Arnett,largo
218,Devin Powell,185.42,Jesus Pinedo,188.0,2.58,Jesus Pinedo,largo
219,Raquel Pennington,170.18,Germaine de Randamie,180.34,10.16,Germaine de Randamie,largo
220,Chas Skelly,182.88,Bobby Moffett,187.96,5.08,Bobby Moffett,largo
221,Derek Brunson,195.58,Israel Adesanya,203.2,7.62,Israel Adesanya,largo
222,Jason Knight,180.34,Jordan Rinaldi,182.88,2.54,Jordan Rinaldi,largo
223,Julio Arce,177.8,Sheymon Moraes,182.88,5.08,Sheymon Moraes,largo
224,Volkan Oezdemir,190.5,Anthony Smith,193.04,2.54,Anthony Smith,largo
225,Alex Garcia,182.88,Court McGee,190.5,7.62,Court McGee,largo
226,Nordine Taleb,187.96,Sean Strickland,193.04,5.08,Sean Strickland,largo
227,Sarah Moras,170.18,Talita Bernardo,172.72,2.54,Talita Bernardo,largo
228,Lina Lansberg,165.1,Yana Kunitskaya,172.72,7.62,Yana Kunitskaya,largo
229,Renan Barao,177.8,Andre Ewell,190.5,12.7,Andre Ewell,largo
230,Luis Henrique,187.96,Ryan Spann,200.66,12.7,Ryan Spann,largo
231,Mark Hunt,182.88,Aleksei Oleinik,203.2,20.32,Aleksei Oleinik,largo
232,Adam Yandiev,187.96,Jordan Johnson,200.66,12.7,Jordan Johnson,largo
233,Carla Esparza,160.02,Tatiana Suarez,167.64,7.62,Tatiana Suarez,largo
234,Charles Byrd,185.42,Darren Stewart,187.96,2.54,Darren Stewart,largo
235,Jake Ellenberger,180.34,Bryan Barberena,182.88,2.54,Bryan Barberena,largo
236,John Moraga,167.64,Deiveson Figueiredo,172.72,5.08,Deiveson Figueiredo,largo
237,Cub Swanson,177.8,Renato Moicano,182.88,5.08,Renato Moicano,largo
238,Matt Sayles,172.72,Sheymon Moraes,182.88,10.16,Sheymon Moraes,largo
239,Danielle Taylor,152.4,Weili Zhang,160.0,7.6,Weili Zhang,largo
240,Eddie Alvarez,175.26,Dustin Poirier,182.88,7.62,Dustin Poirier,largo
241,Gadzhimurad Antigulov,177.8,Ion Cutelaba,190.5,12.7,Ion Cutelaba,largo
242,Randa Markos,160.02,Nina Ansaroff,162.56,2.54,Nina Ansaroff,largo
243,Glover Teixeira,193.04,Corey Anderson,200.66,7.62,Corey Anderson,largo
244,Nick Hein,167.64,Damir Hadzovic,177.8,10.16,Damir Hadzovic,largo
245,Emil Meek,187.96,Bartosz Fabinski,190.5,2.54,Bartosz Fabinski,largo
246,Khalid Taha,175.26,Nad Narimani,177.8,2.54,Nad Narimani,largo
247,Davey Grant,175.26,Manny Bermudez,180.34,5.08,Manny Bermudez,largo
248,Jeremy Kimball,182.88,Darko Stosic,193.04,10.16,Darko Stosic,largo
249,Damian Stasiak,177.8,Liu Pingyuan,182.88,5.08,Liu Pingyuan,largo
250,Dennis Bermudez,167.64,Rick Glenn,177.8,10.16,Rick Glenn,largo
251,Justin Scoggins,167.64,Said Nurmagomedov,177.8,10.16,Said Nurmagomedov,largo
252,Paul Felder,177.8,Mike Perry,180.34,2.54,Mike Perry,largo
253,Gokhan Saki,185.42,Khalil Rountree Jr.,193.04,7.62,Khalil Rountree Jr.,largo
254,Brad Tavares,187.96,Israel Adesanya,203.2,15.24,Israel Adesanya,largo
255,Tyler Diamond,175.26,Bryce Mitchell,178.0,2.74,Bryce Mitchell,largo
256,Donald Cerrone,185.42,Leon Edwards,187.96,2.54,Leon Edwards,largo
257,Jessica-Rose Clark,162.56,Jessica Eye,167.64,5.08,Jessica Eye,largo
258,Rolando Dy,175.26,Shane Young,182.88,7.62,Shane Young,largo
259,Shinsho Anzai,177.8,Jake Matthews,185.42,7.62,Jake Matthews,largo
260,Jenel Lausa,172.72,Ulka Sasaki,180.34,7.62,Ulka Sasaki,largo
261,Rafael Dos Anjos,177.8,Colby Covington,182.88,5.08,Colby Covington,largo
262,CM Punk,185.42,Mike Jackson,188.0,2.58,Mike Jackson,largo
263,Rashad Coulter,193.04,Chris de la Rocha,203.2,10.16,Chris de la Rocha,largo
264,Rashad Evans,190.5,Anthony Smith,193.04,2.54,Anthony Smith,largo
265,Joseph Benavidez,165.1,Sergio Pettis,175.26,10.16,Sergio Pettis,largo
266,Clay Guida,177.8,Charles Oliveira,187.96,10.16,Charles Oliveira,largo
267,Mike Santiago,175.26,Dan Ige,180.34,5.08,Dan Ige,largo
268,Jake Ellenberger,180.34,Ben Saunders,195.58,15.24,Ben Saunders,largo
269,Nik Lentz,172.72,David Teymur,185.42,12.7,David Teymur,largo
270,Jarred Brooks,157.48,Jose Torres,165.1,7.62,Jose Torres,largo
271,Jason Knight,180.34,Makwan Amirkhani,182.88,2.54,Makwan Amirkhani,largo
272,Eric Spicely,185.42,Darren Stewart,187.96,2.54,Darren Stewart,largo
273,Daniel Kelly,177.8,Tom Breese,185.42,7.62,Tom Breese,largo
274,Demian Maia,182.88,Kamaru Usman,193.04,10.16,Kamaru Usman,largo
275,Veronica Macedo,162.56,Andrea Lee,175.26,12.7,Andrea Lee,largo
276,Edson Barboza,190.5,Kevin Lee,195.58,5.08,Kevin Lee,largo
277,Jim Miller,180.34,Dan Hooker,190.5,10.16,Dan Hooker,largo
278,Merab Dvalishvili,172.72,Ricky Simon,175.26,2.54,Ricky Simon,largo
279,Carlos Condit,190.5,Alex Oliveira,193.04,2.54,Alex Oliveira,largo
280,Tim Boetsch,187.96,Antonio Carlos Junior,200.66,12.7,Antonio Carlos Junior,largo
281,Wilson Reis,165.1,John Moraga,167.64,2.54,John Moraga,largo
282,Dhiego Lima,187.96,Yushin Okami,190.5,2.54,Yushin Okami,largo
283,Arjan Bhullar,190.5,Adam Wieczorek,205.74,15.24,Adam Wieczorek,largo
284,Bec Rawlings,162.56,Ashlee Evans-Smith,170.18,7.62,Ashlee Evans-Smith,largo
285,Fabricio Werdum,195.58,Alexander Volkov,203.2,7.62,Alexander Volkov,largo
286,Stevie Ray,177.8,Kajan Johnson,190.5,12.7,Kajan Johnson,largo
287,Frankie Edgar,172.72,Brian Ortega,175.26,2.54,Brian Ortega,largo
288,Josh Emmett,177.8,Jeremy Stephens,180.34,2.54,Jeremy Stephens,largo
289,Mike Perry,180.34,Max Griffin,193.04,12.7,Max Griffin,largo
290,Sara McMann,167.64,Marion Reneau,172.72,5.08,Marion Reneau,largo
291,Thiago Alves,177.8,Curtis Millender,193.04,15.24,Curtis Millender,largo
292,Steven Peterson,177.8,Brandon Davis,182.88,5.08,Brandon Davis,largo
293,Jared Gordon,172.72,Diego Ferreira,187.96,15.24,Diego Ferreira,largo
294,Mark Hunt,182.88,Curtis Blaydes,203.2,20.32,Curtis Blaydes,largo
295,Damien Brown,172.72,Dong Hyun Ma,177.8,5.08,Dong Hyun Ma,largo
296,Maia Stevenson,157.48,Polyana Viana,170.18,12.7,Polyana Viana,largo
297,Dennis Bermudez,167.64,Andre Fili,187.96,20.32,Andre Fili,largo
298,Justine Kish,162.56,Ji Yeon Kim,182.88,20.32,Ji Yeon Kim,largo
299,Thomas Almeida,177.8,Rob Font,180.34,2.54,Rob Font,largo
300,Sabah Homasi,182.88,Abdul Razak Alhassan,185.42,2.54,Abdul Razak Alhassan,largo
301,Kalindra Faria,157.0,Jessica Eye,167.64,10.64,Jessica Eye,largo
302,Danielle Taylor,152.4,JJ Aldrich,170.18,17.78,JJ Aldrich,largo
303,Carlos Condit,190.5,Neil Magny,203.2,12.7,Neil Magny,largo
304,Jared Cannonier,195.58,Jan Blachowicz,198.12,2.54,Jan Blachowicz,largo
305,Albert Morales,182.88,Benito Lopez,185.42,2.54,Benito Lopez,largo
306,Luke Sanders,170.18,Andre Soukhamthath,177.8,7.62,Andre Soukhamthath,largo
307,Chris Gruetzemacher,172.72,Davi Ramos,177.8,5.08,Davi Ramos,largo
308,Alistair Overeem,203.2,Francis Ngannou,210.82,7.62,Francis Ngannou,largo
309,Sabah Homasi,182.88,Abdul Razak Alhassan,185.42,2.54,Abdul Razak Alhassan,largo
310,Jeremy Kimball,182.88,Dominick Reyes,195.58,12.7,Dominick Reyes,largo
311,Barb Honchak,165.1,Lauren Murphy,170.18,5.08,Lauren Murphy,largo
312,Eric Spicely,185.42,Gerald Meerschaert,195.58,10.16,Gerald Meerschaert,largo
313,Joe Soto,165.1,Brett Johns,180.34,15.24,Brett Johns,largo
314,Andrew Sanchez,187.96,Ryan Janes,193.04,5.08,Ryan Janes,largo
315,Ariel Beck,167.64,Shana Dobson,175.26,7.62,Shana Dobson,largo
316,Muslim Salikhov,177.8,Alex Garcia,182.88,5.08,Alex Garcia,largo
