,Red,R_Reach_cms,Blue,B_Reach_cms,reach_dif,ganador,mejor_alcance
1542,Shawn Jordan,190.5,Derrick Lewis,200.66,10.16,Shawn Jordan,largo
1543,Chris Wade,177.8,Christos Giagos,180.34,2.54,Chris Wade,largo
1544,Juliana Lima,165.1,Ericka Almeida,172.72,7.62,Juliana Lima,largo
1545,Joseph Benavidez,165.1,John Moraga,167.64,2.54,Joseph Benavidez,largo
1546,Islam Makhachev,177.8,Leo Kuntz,187.96,10.16,Islam Makhachev,largo
1547,Mark Munoz,182.88,Luke Barnatt,195.58,12.7,Mark Munoz,largo
1548,Li Jingliang,180.34,Dhiego Lima,187.96,7.62,Li Jingliang,largo
1549,Ning Guangyou,162.56,Royston Wee,170.18,7.62,Ning Guangyou,largo
1550,Alex Chambers,160.02,Kailin Curran,165.1,5.08,Alex Chambers,largo
1551,Rampage Jackson,185.42,Fabio Maldonado,190.5,5.08,Rampage Jackson,largo
1552,Michael Bisping,190.5,CB Dollaway,193.04,2.54,Michael Bisping,largo
1553,John Makdessi,172.72,Shane Campbell,180.34,7.62,John Makdessi,largo
1554,Chad Laprise,180.34,Bryan Barberena,182.88,2.54,Chad Laprise,largo
1555,Olivier Aubin-Mercier,177.8,David Michaud,182.88,5.08,Olivier Aubin-Mercier,largo
1556,Randa Markos,160.02,Aisling Daly,162.56,2.54,Randa Markos,largo
1557,Jacare Souza,182.88,Chris Camozzi,193.04,10.16,Jacare Souza,largo
1558,Diego Brandao,172.72,Jimy Hettes,180.34,7.62,Diego Brandao,largo
1559,Sergio Moraes,182.88,Mickael Lebout,185.42,2.54,Sergio Moraes,largo
1560,Chad Mendes,167.64,Ricardo Lamas,180.34,12.7,Chad Mendes,largo
1561,Clay Guida,177.8,Robert Peralta,180.34,2.54,Clay Guida,largo
1562,Dustin Poirier,182.88,Diego Ferreira,187.96,5.08,Dustin Poirier,largo
1563,Liz Carmouche,167.64,Lauren Murphy,170.18,2.54,Liz Carmouche,largo
1564,Ron Stallings,190.5,Justin Jones,198.12,7.62,Ron Stallings,largo
1565,Demian Maia,182.88,Ryan LaFlare,187.96,5.08,Demian Maia,largo
1566,Gilbert Burns,180.34,Alex Oliveira,193.04,12.7,Gilbert Burns,largo
1567,Godofredo Pepey,185.42,Andre Fili,187.96,2.54,Godofredo Pepey,largo
1568,Francisco Trinaldo,177.8,Akbarh Arreola,180.34,2.54,Francisco Trinaldo,largo
1569,Leonardo Mafra,177.8,Cain Carrizosa,187.96,10.16,Leonardo Mafra,largo
1570,Johny Hendricks,175.26,Matt Brown,190.5,15.24,Johny Hendricks,largo
1571,Ross Pearson,175.26,Sam Stout,177.8,2.54,Ross Pearson,largo
1572,Elias Theodorou,190.5,Roger Narvaez,200.66,10.16,Elias Theodorou,largo
1573,Jake Ellenberger,180.34,Josh Koscheck,185.42,5.08,Jake Ellenberger,largo
1574,Santiago Ponzinibbio,185.42,Sean Strickland,193.04,7.62,Santiago Ponzinibbio,largo
1575,Douglas Silva de Andrade,172.72,Cody Gibson,180.34,7.62,Douglas Silva de Andrade,largo
1576,Ivan Jorge,185.42,Josh Shockley,187.96,2.54,Ivan Jorge,largo
1577,Benson Henderson,177.8,Brandon Thatch,187.96,10.16,Benson Henderson,largo
1578,Max Holloway,175.26,Cole Miller,187.96,12.7,Max Holloway,largo
1579,Daniel Kelly,177.8,Patrick Walsh,180.34,2.54,Daniel Kelly,largo
1580,Ray Borg,160.02,Chris Kelades,172.72,12.7,Ray Borg,largo
1581,Efrain Escudero,177.8,Rodrigo de Lima,190.5,12.7,Efrain Escudero,largo
1582,Zach Makovsky,162.56,Tim Elliott,167.64,5.08,Zach Makovsky,largo
1583,James Moontasri,180.34,Cody Pfister,185.42,5.08,James Moontasri,largo
1584,Miesha Tate,165.1,Sara McMann,167.64,2.54,Miesha Tate,largo
1585,Thiago Santos,193.04,Andy Enz,198.12,5.08,Thiago Santos,largo
1586,Neil Seery,162.56,Chris Beal,175.26,12.7,Neil Seery,largo
1587,Johnny Case,182.88,Frankie Perez,185.42,2.54,Johnny Case,largo
1588,Charles Rosa,175.26,Sean Soriano,177.8,2.54,Charles Rosa,largo
1589,Shawn Jordan,190.5,Jared Cannonier,195.58,5.08,Shawn Jordan,largo
1590,Evan Dunham,177.8,Rodrigo Damm,180.34,2.54,Evan Dunham,largo
1591,Omari Akhmedov,185.42,Mats Nilsson,187.96,2.54,Omari Akhmedov,largo
1592,Lyoto Machida,187.96,CB Dollaway,193.04,5.08,Lyoto Machida,largo
1593,Marcos Rogerio de Lima,190.5,Igor Pokrajac,193.04,2.54,Marcos Rogerio de Lima,largo
1594,Leandro Issa,175.26,Ulka Sasaki,180.34,5.08,Leandro Issa,largo
1595,Vitor Miranda,195.58,Jake Collier,198.12,2.54,Vitor Miranda,largo
1596,Junior Dos Santos,195.58,Stipe Miocic,203.2,7.62,Junior Dos Santos,largo
1597,Rafael Dos Anjos,177.8,Nate Diaz,193.04,15.24,Rafael Dos Anjos,largo
1598,Alistair Overeem,203.2,Stefan Struve,213.36,10.16,Alistair Overeem,largo
1599,John Moraga,167.64,Willie Gates,177.8,10.16,John Moraga,largo
1600,Henry Cejudo,162.56,Dustin Kimura,180.34,17.78,Henry Cejudo,largo
1601,Carla Esparza,160.02,Rose Namajunas,165.1,5.08,Carla Esparza,largo
1602,Tecia Torres,152.4,Angela Magana,165.1,12.7,Tecia Torres,largo
1603,Anthony Pettis,182.88,Gilbert Melendez,185.42,2.54,Anthony Pettis,largo
1604,Urijah Faber,170.18,Francisco Rivera,172.72,2.54,Urijah Faber,largo
1605,Sergio Pettis,175.26,Matt Hobar,177.8,2.54,Sergio Pettis,largo
1606,Frankie Edgar,172.72,Cub Swanson,177.8,5.08,Frankie Edgar,largo
1607,Alejandro Perez,170.18,Jose Quinonez,175.26,5.08,Alejandro Perez,largo
1608,Marco Beltran,175.26,Marlon Vera,177.8,2.54,Marco Beltran,largo
1609,Warlley Alves,182.88,Alan Jouban,185.42,2.54,Warlley Alves,largo
1610,Claudio Silva,180.34,Leon Edwards,187.96,7.62,Claudio Silva,largo
1611,Caio Magalhaes,185.42,Trevor Smith,190.5,5.08,Caio Magalhaes,largo
1612,Robert Whittaker,185.42,Clint Hester,195.58,10.16,Robert Whittaker,largo
1613,Anthony Perosh,190.5,Guto Inocente,195.58,5.08,Anthony Perosh,largo
1614,Darren Elkins,180.34,Lucas Martins,182.88,2.54,Darren Elkins,largo
1615,Raphael Assuncao,167.64,Bryan Caraway,172.72,5.08,Raphael Assuncao,largo
1616,Mitch Gagnon,165.1,Roman Salazar,170.18,5.08,Mitch Gagnon,largo
1617,Daron Cruickshank,182.88,Anthony Njokuani,190.5,7.62,Daron Cruickshank,largo
1618,Olivier Aubin-Mercier,177.8,Jake Lindsey,180.34,2.54,Olivier Aubin-Mercier,largo
1619,Albert Tumenov,185.42,Matt Dwyer,193.04,7.62,Albert Tumenov,largo
1620,Zubaira Tukhugov,172.72,Ernest Chavez,177.8,5.08,Zubaira Tukhugov,largo
1621,Cat Zingano,172.72,Amanda Nunes,175.26,2.54,Cat Zingano,largo
1622,Manvel Gamburyan,170.18,Cody Gibson,180.34,10.16,Manvel Gamburyan,largo
