,weight_class
1856,Heavyweight
1857,Middleweight
1858,Featherweight
1859,Middleweight
1861,Lightweight
1862,Welterweight
1864,Bantamweight
1865,Middleweight
1866,Middleweight
1868,Middleweight
1869,Middleweight
1870,Light Heavyweight
1871,Lightweight
1872,Welterweight
1873,Flyweight
1874,Lightweight
1875,Featherweight
1876,Welterweight
1877,Featherweight
1879,Lightweight
1880,Light Heavyweight
1881,Heavyweight
1883,Featherweight
1884,Bantamweight
1886,Light Heavyweight
1888,Welterweight
1889,Heavyweight
1890,Featherweight
1891,Middleweight
1892,Bantamweight
1893,Welterweight
1894,Light Heavyweight
1895,Middleweight
1896,Light Heavyweight
1897,Flyweight
1898,Lightweight
1899,Featherweight
1900,Lightweight
1901,Welterweight
1902,Flyweight
1903,Lightweight
1904,Bantamweight
1905,Heavyweight
1906,Lightweight
1908,Heavyweight
1909,Light Heavyweight
1910,Heavyweight
1912,Bantamweight
1913,Bantamweight
1914,Welterweight
1915,Flyweight
1916,Welterweight
1917,Middleweight
1918,Welterweight
1919,Welterweight
1921,Welterweight
1922,Bantamweight
1923,Welterweight
1924,Light Heavyweight
1925,Featherweight
1926,Welterweight
1927,Welterweight
1928,Lightweight
1930,Bantamweight
1931,Flyweight
1932,Welterweight
1933,Featherweight
1934,Welterweight
1935,Featherweight
1936,Middleweight
1937,Welterweight
1938,Light Heavyweight
1939,Lightweight
1941,Bantamweight
1942,Lightweight
1943,Lightweight
1944,Flyweight
1945,Heavyweight
1946,Heavyweight
1947,Light Heavyweight
1948,Light Heavyweight
1950,Welterweight
1951,Middleweight
1952,Middleweight
1953,Featherweight
1954,Lightweight
1955,Middleweight
1957,Flyweight
1958,Flyweight
1959,Welterweight
1960,Light Heavyweight
1962,Flyweight
1963,Featherweight
1964,Bantamweight
1965,Lightweight
1967,Middleweight
1968,Light Heavyweight
1969,Middleweight
1970,Lightweight
1971,Welterweight
1972,Lightweight
1973,Light Heavyweight
1975,Middleweight
1976,Lightweight
1977,Welterweight
1978,Flyweight
1979,Featherweight
1980,Featherweight
1981,Flyweight
1982,Light Heavyweight
1983,Bantamweight
1985,Middleweight
1986,Welterweight
1987,Welterweight
1988,Middleweight
1989,Light Heavyweight
1990,Bantamweight
1991,Heavyweight
1992,Bantamweight
1993,Middleweight
1994,Lightweight
1995,Heavyweight
1996,Featherweight
1997,Middleweight
1998,Flyweight
1999,Lightweight
2001,Heavyweight
2002,Welterweight
2004,Bantamweight
2005,Welterweight
2006,Lightweight
2008,Middleweight
2010,Featherweight
2011,Lightweight
2012,Middleweight
2013,Welterweight
2014,Catch Weight
2016,Lightweight
2017,Lightweight
2018,Featherweight
2019,Lightweight
2020,Lightweight
2022,Bantamweight
2023,Catch Weight
2024,Welterweight
2025,Bantamweight
2026,Middleweight
2027,Lightweight
2028,Featherweight
2029,Middleweight
2030,Middleweight
2031,Light Heavyweight
2032,Heavyweight
2033,Featherweight
2034,Bantamweight
2035,Bantamweight
2036,Welterweight
2037,Lightweight
2038,Welterweight
2039,Lightweight
2040,Bantamweight
2041,Lightweight
2042,Welterweight
2043,Flyweight
2044,Light Heavyweight
2045,Featherweight
2046,Heavyweight
2047,Welterweight
2048,Middleweight
2049,Light Heavyweight
2050,Heavyweight
2052,Catch Weight
2053,Featherweight
2054,Heavyweight
2055,Lightweight
2056,Middleweight
2057,Featherweight
2058,Lightweight
2059,Bantamweight
2060,Flyweight
2061,Welterweight
2062,Lightweight
2063,Welterweight
2064,Lightweight
2065,Lightweight
2066,Middleweight
2067,Lightweight
2068,Welterweight
2069,Lightweight
2070,Featherweight
2071,Featherweight
2072,Welterweight
2073,Middleweight
2074,Bantamweight
2075,Welterweight
2076,Heavyweight
2077,Heavyweight
2078,Welterweight
2079,Bantamweight
2082,Middleweight
2083,Lightweight
2084,Lightweight
2085,Welterweight
2086,Heavyweight
2087,Light Heavyweight
2088,Light Heavyweight
2089,Lightweight
2090,Welterweight
2091,Welterweight
2093,Bantamweight
2094,Middleweight
2095,Lightweight
2096,Welterweight
2097,Featherweight
2099,Lightweight
2100,Middleweight
2101,Featherweight
2102,Middleweight
2103,Lightweight
2104,Lightweight
2105,Lightweight
2106,Welterweight
2107,Light Heavyweight
2108,Welterweight
2109,Welterweight
2110,Welterweight
2111,Bantamweight
2113,Featherweight
2115,Welterweight
2116,Welterweight
2117,Middleweight
2118,Featherweight
2119,Featherweight
2120,Middleweight
2121,Welterweight
2122,Middleweight
2124,Welterweight
2125,Heavyweight
2126,Lightweight
2127,Featherweight
2128,Featherweight
2129,Heavyweight
2130,Welterweight
2132,Welterweight
2133,Bantamweight
2134,Flyweight
2135,Light Heavyweight
2136,Welterweight
2137,Heavyweight
2138,Flyweight
2139,Lightweight
2141,Lightweight
2142,Heavyweight
2144,Bantamweight
2145,Featherweight
2146,Welterweight
2147,Lightweight
2148,Welterweight
2149,Featherweight
2150,Heavyweight
2151,Bantamweight
2152,Lightweight
2153,Middleweight
2154,Heavyweight
2155,Welterweight
2156,Flyweight
2158,Middleweight
2160,Lightweight
2161,Bantamweight
2162,Middleweight
2164,Light Heavyweight
2165,Featherweight
2166,Heavyweight
2168,Welterweight
2169,Bantamweight
2170,Lightweight
2171,Lightweight
2172,Middleweight
2173,Lightweight
2175,Light Heavyweight
2177,Lightweight
2178,Featherweight
2179,Lightweight
2180,Featherweight
2181,Flyweight
2182,Light Heavyweight
2183,Middleweight
2184,Lightweight
2185,Welterweight
2186,Lightweight
2187,Heavyweight
2188,Welterweight
2189,Lightweight
2190,Welterweight
2191,Lightweight
2192,Bantamweight
2193,Bantamweight
2194,Bantamweight
2195,Lightweight
2196,Bantamweight
2197,Welterweight
2198,Welterweight
2199,Welterweight
2200,Light Heavyweight
2201,Lightweight
2203,Lightweight
2204,Light Heavyweight
2205,Middleweight
2206,Bantamweight
2207,Middleweight
2209,Welterweight
2210,Flyweight
2211,Middleweight
2212,Bantamweight
2213,Featherweight
2214,Middleweight
2215,Lightweight
2216,Featherweight
2217,Lightweight
2219,Featherweight
2220,Welterweight
2221,Light Heavyweight
2222,Lightweight
2223,Bantamweight
2224,Featherweight
2225,Welterweight
2226,Middleweight
2227,Welterweight
2228,Lightweight
2230,Lightweight
2231,Middleweight
2232,Lightweight
2233,Bantamweight
2234,Heavyweight
2235,Heavyweight
2236,Middleweight
2237,Catch Weight
2238,Light Heavyweight
2239,Welterweight
2240,Welterweight
2241,Middleweight
2242,Lightweight
2243,Bantamweight
2244,Light Heavyweight
2245,Featherweight
2246,Heavyweight
2247,Heavyweight
2248,Welterweight
2250,Light Heavyweight
2252,Lightweight
2253,Middleweight
2254,Lightweight
2255,Lightweight
2256,Flyweight
2257,Welterweight
2258,Flyweight
2259,Light Heavyweight
2260,Flyweight
2261,Lightweight
2262,Middleweight
2263,Featherweight
2264,Flyweight
2265,Welterweight
2267,Lightweight
2268,Heavyweight
2269,Light Heavyweight
2270,Lightweight
2271,Light Heavyweight
2273,Catch Weight
2274,Featherweight
2275,Lightweight
2277,Welterweight
2278,Welterweight
2279,Bantamweight
2280,Middleweight
2281,Welterweight
2282,Heavyweight
2283,Heavyweight
2284,Heavyweight
2285,Heavyweight
2286,Light Heavyweight
2288,Welterweight
2289,Bantamweight
2290,Lightweight
2291,Bantamweight
2292,Featherweight
2293,Heavyweight
2294,Middleweight
2295,Heavyweight
2296,Welterweight
2297,Lightweight
2298,Middleweight
2299,Light Heavyweight
2301,Welterweight
2302,Featherweight
2304,Welterweight
2305,Lightweight
2306,Lightweight
2307,Welterweight
2309,Light Heavyweight
2310,Light Heavyweight
2312,Welterweight
2313,Welterweight
2314,Middleweight
2315,Featherweight
2316,Lightweight
2317,Lightweight
2318,Featherweight
2319,Middleweight
2320,Middleweight
2321,Welterweight
2322,Bantamweight
2323,Featherweight
2324,Bantamweight
2325,Middleweight
2326,Featherweight
2327,Middleweight
2328,Lightweight
2329,Heavyweight
2330,Lightweight
2331,Lightweight
2332,Welterweight
2333,Middleweight
2334,Catch Weight
2335,Featherweight
2336,Middleweight
2337,Lightweight
2338,Welterweight
2339,Middleweight
2340,Middleweight
2341,Welterweight
2344,Heavyweight
2345,Welterweight
2346,Heavyweight
2347,Light Heavyweight
2348,Flyweight
2349,Light Heavyweight
2350,Welterweight
2351,Lightweight
2352,Heavyweight
2353,Flyweight
2354,Featherweight
2355,Welterweight
2356,Featherweight
2357,Light Heavyweight
2358,Heavyweight
2359,Bantamweight
2360,Welterweight
2361,Welterweight
2362,Lightweight
2363,Middleweight
2364,Flyweight
2365,Welterweight
2366,Featherweight
2367,Welterweight
2368,Lightweight
2369,Bantamweight
2370,Lightweight
2371,Heavyweight
2372,Lightweight
2373,Welterweight
2374,Light Heavyweight
2375,Lightweight
2376,Featherweight
2377,Lightweight
2378,Light Heavyweight
2379,Featherweight
2380,Bantamweight
2381,Light Heavyweight
2382,Welterweight
2383,Heavyweight
2384,Welterweight
2385,Featherweight
2386,Lightweight
2387,Bantamweight
2388,Welterweight
2390,Lightweight
2391,Lightweight
2392,Bantamweight
2393,Welterweight
2394,Lightweight
2395,Heavyweight
2396,Lightweight
2398,Featherweight
2399,Middleweight
2401,Middleweight
2402,Lightweight
2403,Welterweight
2404,Welterweight
2405,Heavyweight
2406,Featherweight
2407,Middleweight
2408,Middleweight
2409,Welterweight
2410,Featherweight
2411,Bantamweight
2413,Welterweight
2414,Lightweight
2415,Lightweight
2416,Lightweight
2417,Welterweight
2418,Featherweight
2419,Lightweight
2420,Lightweight
2421,Lightweight
2422,Featherweight
2423,Lightweight
2424,Heavyweight
2425,Welterweight
2426,Flyweight
2427,Lightweight
2429,Lightweight
2430,Lightweight
2431,Middleweight
2432,Welterweight
2433,Welterweight
2434,Bantamweight
2435,Welterweight
2436,Welterweight
2437,Featherweight
2439,Welterweight
2440,Welterweight
2441,Welterweight
2442,Featherweight
2443,Middleweight
2444,Featherweight
2445,Lightweight
2447,Flyweight
2448,Bantamweight
2449,Welterweight
2450,Welterweight
2451,Featherweight
2452,Flyweight
2453,Welterweight
2454,Lightweight
2455,Lightweight
2456,Bantamweight
2457,Welterweight
2458,Bantamweight
2459,Featherweight
2460,Welterweight
2461,Lightweight
2462,Lightweight
2465,Heavyweight
2466,Middleweight
2467,Heavyweight
2468,Lightweight
2469,Welterweight
2470,Light Heavyweight
2471,Flyweight
2472,Middleweight
2473,Welterweight
2474,Welterweight
2475,Flyweight
2476,Middleweight
2477,Light Heavyweight
2478,Bantamweight
2479,Lightweight
2480,Lightweight
2481,Light Heavyweight
2482,Lightweight
2483,Lightweight
2484,Featherweight
2485,Featherweight
2486,Welterweight
2487,Bantamweight
2488,Bantamweight
2489,Flyweight
2490,Lightweight
2491,Flyweight
2492,Lightweight
2494,Middleweight
2495,Welterweight
2496,Featherweight
2497,Middleweight
2498,Light Heavyweight
2499,Light Heavyweight
2500,Heavyweight
2501,Flyweight
2503,Featherweight
2504,Welterweight
2505,Lightweight
2507,Lightweight
2508,Flyweight
2509,Heavyweight
2510,Heavyweight
2511,Middleweight
2512,Flyweight
2513,Bantamweight
2514,Featherweight
2515,Welterweight
2516,Lightweight
2517,Lightweight
2518,Welterweight
2519,Flyweight
2520,Heavyweight
2521,Light Heavyweight
2522,Light Heavyweight
2524,Lightweight
2525,Bantamweight
2527,Featherweight
2528,Middleweight
2529,Lightweight
2530,Featherweight
2531,Welterweight
2532,Welterweight
2533,Lightweight
2534,Lightweight
2536,Lightweight
2537,Bantamweight
2538,Light Heavyweight
2539,Flyweight
2540,Lightweight
2541,Light Heavyweight
2542,Light Heavyweight
2543,Lightweight
2544,Middleweight
2545,Heavyweight
2547,Flyweight
2548,Middleweight
2549,Middleweight
2550,Flyweight
2551,Bantamweight
2552,Light Heavyweight
2553,Bantamweight
2554,Lightweight
2556,Light Heavyweight
2557,Lightweight
2558,Bantamweight
2559,Heavyweight
2560,Heavyweight
2562,Welterweight
2563,Light Heavyweight
2564,Welterweight
2565,Bantamweight
2566,Middleweight
2567,Bantamweight
2568,Bantamweight
2570,Lightweight
2571,Lightweight
2572,Light Heavyweight
2573,Lightweight
2574,Welterweight
2575,Bantamweight
2576,Lightweight
2577,Lightweight
2579,Middleweight
2580,Middleweight
2581,Lightweight
2582,Lightweight
2584,Welterweight
2585,Lightweight
2586,Flyweight
2587,Light Heavyweight
2588,Lightweight
2589,Featherweight
2590,Bantamweight
2591,Heavyweight
2592,Heavyweight
2593,Lightweight
2595,Bantamweight
2596,Lightweight
2597,Welterweight
2598,Featherweight
2600,Bantamweight
2601,Welterweight
2602,Middleweight
2603,Welterweight
2604,Welterweight
2605,Welterweight
2606,Welterweight
2607,Welterweight
2609,Featherweight
2610,Middleweight
2611,Bantamweight
2612,Middleweight
2613,Welterweight
2614,Flyweight
2615,Featherweight
2616,Welterweight
2617,Featherweight
2618,Welterweight
2619,Bantamweight
2620,Welterweight
2621,Welterweight
2622,Welterweight
2623,Bantamweight
2624,Flyweight
2625,Lightweight
2626,Middleweight
2627,Welterweight
2628,Middleweight
2629,Middleweight
2630,Featherweight
2631,Welterweight
2632,Welterweight
2633,Welterweight
2634,Bantamweight
2636,Featherweight
2637,Welterweight
2638,Lightweight
2639,Featherweight
2640,Lightweight
2641,Featherweight
2642,Featherweight
2643,Middleweight
2644,Lightweight
2645,Bantamweight
2646,Heavyweight
2647,Lightweight
2648,Middleweight
2649,Featherweight
2651,Flyweight
2652,Lightweight
2653,Bantamweight
2654,Lightweight
2655,Welterweight
2656,Featherweight
2657,Middleweight
2658,Heavyweight
2659,Lightweight
2660,Featherweight
2661,Bantamweight
2662,Bantamweight
2663,Heavyweight
2664,Welterweight
2665,Lightweight
2666,Lightweight
2667,Middleweight
2668,Bantamweight
2669,Welterweight
2670,Featherweight
2671,Welterweight
2672,Light Heavyweight
2673,Lightweight
2674,Welterweight
2675,Flyweight
2676,Welterweight
2677,Featherweight
2679,Welterweight
2680,Light Heavyweight
2681,Middleweight
2682,Lightweight
2683,Heavyweight
2684,Flyweight
2685,Flyweight
2686,Welterweight
2687,Middleweight
2688,Welterweight
2689,Lightweight
2690,Flyweight
2691,Featherweight
2692,Middleweight
2693,Middleweight
2694,Welterweight
2695,Featherweight
2696,Featherweight
2697,Lightweight
2698,Lightweight
2699,Welterweight
2700,Bantamweight
2701,Flyweight
2702,Flyweight
2703,Heavyweight
2704,Middleweight
2705,Light Heavyweight
2706,Lightweight
2707,Featherweight
2708,Welterweight
2709,Middleweight
2711,Middleweight
2713,Welterweight
2714,Flyweight
2715,Flyweight
2716,Catch Weight
2717,Middleweight
2718,Catch Weight
2719,Bantamweight
2720,Welterweight
2722,Lightweight
2723,Lightweight
2724,Welterweight
2727,Middleweight
2728,Middleweight
2729,Featherweight
2731,Lightweight
2732,Light Heavyweight
2733,Light Heavyweight
2734,Bantamweight
2735,Welterweight
2736,Featherweight
2737,Middleweight
2738,Heavyweight
2739,Light Heavyweight
2740,Welterweight
2742,Welterweight
2743,Middleweight
2744,Welterweight
2745,Featherweight
2746,Heavyweight
2748,Lightweight
2749,Featherweight
2750,Featherweight
2751,Lightweight
2752,Lightweight
2754,Featherweight
2755,Lightweight
2757,Lightweight
2758,Heavyweight
2759,Middleweight
2760,Welterweight
2761,Welterweight
2762,Lightweight
2764,Lightweight
2765,Featherweight
2766,Lightweight
2767,Featherweight
2768,Lightweight
2769,Lightweight
2770,Flyweight
2771,Lightweight
2773,Welterweight
2774,Heavyweight
2775,Flyweight
2776,Lightweight
2777,Middleweight
2778,Lightweight
2779,Heavyweight
2780,Flyweight
2781,Lightweight
2785,Welterweight
2786,Welterweight
2787,Lightweight
2788,Middleweight
2789,Welterweight
2790,Heavyweight
2791,Lightweight
2792,Featherweight
2793,Heavyweight
2794,Lightweight
2795,Middleweight
2796,Lightweight
2797,Bantamweight
2798,Welterweight
2800,Welterweight
2801,Featherweight
2802,Bantamweight
2803,Lightweight
2804,Welterweight
2805,Featherweight
2806,Welterweight
2807,Middleweight
2808,Lightweight
2809,Flyweight
2810,Lightweight
2811,Featherweight
2812,Flyweight
2813,Lightweight
2814,Welterweight
2815,Lightweight
2816,Middleweight
2817,Welterweight
2819,Middleweight
2820,Flyweight
2821,Middleweight
2822,Middleweight
2823,Middleweight
2824,Light Heavyweight
2825,Middleweight
2826,Light Heavyweight
2827,Featherweight
2828,Welterweight
2829,Welterweight
2830,Featherweight
2831,Light Heavyweight
2832,Lightweight
2833,Featherweight
2834,Heavyweight
2835,Flyweight
2836,Featherweight
2837,Lightweight
2838,Middleweight
2839,Lightweight
2840,Welterweight
2841,Welterweight
2842,Lightweight
2843,Flyweight
2844,Lightweight
2845,Featherweight
2846,Light Heavyweight
2847,Flyweight
2848,Light Heavyweight
2849,Lightweight
2850,Middleweight
2851,Flyweight
2852,Lightweight
2853,Bantamweight
2854,Heavyweight
2855,Lightweight
2856,Welterweight
2858,Middleweight
2859,Bantamweight
2860,Light Heavyweight
2861,Lightweight
2862,Welterweight
2863,Middleweight
2864,Light Heavyweight
2865,Featherweight
2866,Featherweight
2867,Bantamweight
2868,Welterweight
2869,Middleweight
2870,Heavyweight
2871,Lightweight
2872,Heavyweight
2873,Heavyweight
2875,Flyweight
2876,Welterweight
2877,Lightweight
2878,Lightweight
2879,Lightweight
2880,Bantamweight
2881,Bantamweight
2883,Featherweight
2884,Lightweight
2892,Welterweight
2893,Lightweight
2894,Heavyweight
2895,Heavyweight
2896,Lightweight
2897,Bantamweight
2898,Middleweight
2899,Light Heavyweight
2901,Bantamweight
2902,Featherweight
2903,Featherweight
2904,Lightweight
2905,Flyweight
2906,Heavyweight
2907,Flyweight
2908,Lightweight
2909,Heavyweight
2910,Middleweight
2911,Lightweight
2912,Lightweight
2914,Featherweight
2915,Heavyweight
2916,Welterweight
2917,Featherweight
2918,Welterweight
2919,Welterweight
2920,Featherweight
2921,Bantamweight
2923,Featherweight
2924,Bantamweight
2925,Bantamweight
2926,Light Heavyweight
2927,Welterweight
2928,Welterweight
2929,Welterweight
2931,Featherweight
2932,Middleweight
2933,Lightweight
2934,Bantamweight
2935,Welterweight
2936,Middleweight
2937,Lightweight
2938,Middleweight
2939,Heavyweight
2940,Lightweight
2941,Light Heavyweight
2942,Middleweight
2943,Flyweight
2944,Welterweight
2945,Middleweight
2946,Bantamweight
2947,Featherweight
2948,Light Heavyweight
2949,Light Heavyweight
2950,Featherweight
2951,Lightweight
2952,Welterweight
2953,Lightweight
2954,Flyweight
2955,Featherweight
2956,Lightweight
2957,Lightweight
2958,Welterweight
2959,Bantamweight
2960,Lightweight
2961,Middleweight
2962,Welterweight
2963,Bantamweight
2964,Lightweight
2965,Lightweight
2966,Lightweight
2967,Flyweight
2968,Welterweight
2969,Welterweight
2970,Featherweight
2971,Light Heavyweight
2972,Featherweight
2973,Middleweight
2974,Welterweight
2975,Featherweight
2976,Welterweight
2977,Middleweight
2978,Lightweight
2979,Featherweight
2980,Flyweight
2981,Lightweight
2982,Featherweight
2983,Middleweight
2985,Bantamweight
2986,Lightweight
2987,Welterweight
2988,Welterweight
2989,Lightweight
2990,Bantamweight
2991,Heavyweight
2992,Lightweight
2993,Welterweight
2995,Welterweight
2996,Flyweight
2997,Bantamweight
2998,Featherweight
2999,Welterweight
3000,Bantamweight
3001,Lightweight
3002,Featherweight
3003,Heavyweight
3004,Lightweight
3005,Lightweight
3006,Welterweight
3007,Bantamweight
3009,Featherweight
3010,Welterweight
3011,Lightweight
3012,Welterweight
3013,Bantamweight
3014,Middleweight
3015,Heavyweight
3016,Heavyweight
3017,Lightweight
3018,Flyweight
3019,Lightweight
3020,Middleweight
3021,Bantamweight
3022,Featherweight
3023,Bantamweight
3024,Lightweight
3026,Lightweight
3027,Lightweight
3028,Middleweight
3029,Heavyweight
3030,Lightweight
3031,Lightweight
3032,Welterweight
3033,Middleweight
3034,Catch Weight
3035,Lightweight
3036,Featherweight
3037,Welterweight
3038,Lightweight
3039,Bantamweight
3040,Welterweight
3041,Flyweight
3042,Middleweight
3043,Welterweight
3044,Lightweight
3045,Featherweight
3046,Welterweight
3047,Welterweight
3048,Bantamweight
3049,Welterweight
3050,Bantamweight
3052,Light Heavyweight
3053,Lightweight
3054,Middleweight
3055,Welterweight
3056,Heavyweight
3057,Featherweight
3058,Flyweight
3060,Middleweight
3061,Bantamweight
3062,Welterweight
3063,Light Heavyweight
3064,Featherweight
3065,Lightweight
3066,Lightweight
3067,Light Heavyweight
3068,Welterweight
3069,Lightweight
3070,Welterweight
3072,Featherweight
3073,Featherweight
3074,Welterweight
3075,Flyweight
3076,Lightweight
3077,Light Heavyweight
3078,Flyweight
3079,Middleweight
3080,Middleweight
3081,Light Heavyweight
3082,Flyweight
3083,Lightweight
3084,Lightweight
3085,Welterweight
3086,Lightweight
3087,Flyweight
3088,Featherweight
3089,Lightweight
3091,Bantamweight
3092,Lightweight
3094,Featherweight
3095,Light Heavyweight
3096,Middleweight
3097,Heavyweight
3098,Flyweight
3099,Lightweight
3100,Bantamweight
3101,Lightweight
3102,Light Heavyweight
3103,Catch Weight
3104,Middleweight
3106,Middleweight
3107,Bantamweight
3108,Bantamweight
3109,Welterweight
3110,Middleweight
3111,Bantamweight
3112,Middleweight
3113,Featherweight
3114,Welterweight
3115,Middleweight
3116,Featherweight
3117,Middleweight
3118,Lightweight
3119,Lightweight
3120,Bantamweight
3121,Middleweight
3122,Flyweight
3123,Heavyweight
3124,Middleweight
3125,Heavyweight
3126,Featherweight
3127,Welterweight
3128,Lightweight
3129,Flyweight
3130,Welterweight
3131,Welterweight
3132,Featherweight
3133,Light Heavyweight
3134,Flyweight
3135,Welterweight
3136,Light Heavyweight
3137,Heavyweight
3138,Light Heavyweight
3139,Welterweight
3141,Bantamweight
3142,Lightweight
3143,Bantamweight
3144,Lightweight
3145,Lightweight
3146,Lightweight
3147,Flyweight
3148,Lightweight
3149,Lightweight
3150,Bantamweight
3151,Bantamweight
3152,Welterweight
3153,Flyweight
3154,Lightweight
3155,Light Heavyweight
3156,Heavyweight
3157,Heavyweight
3158,Middleweight
3159,Welterweight
3160,Featherweight
3161,Lightweight
3162,Lightweight
3163,Welterweight
3164,Featherweight
3165,Middleweight
3166,Heavyweight
3167,Bantamweight
3168,Middleweight
3169,Middleweight
3170,Middleweight
3171,Featherweight
3172,Lightweight
3173,Middleweight
3174,Bantamweight
3175,Welterweight
3176,Featherweight
3177,Heavyweight
3178,Bantamweight
3179,Light Heavyweight
3180,Welterweight
3181,Bantamweight
3182,Lightweight
3183,Lightweight
3184,Lightweight
3185,Bantamweight
3186,Lightweight
3187,Lightweight
3188,Featherweight
3189,Welterweight
3190,Welterweight
3191,Middleweight
3192,Lightweight
3193,Welterweight
3194,Heavyweight
3195,Flyweight
3196,Middleweight
3197,Flyweight
3198,Welterweight
3199,Bantamweight
3200,Featherweight
3201,Lightweight
3202,Welterweight
3203,Light Heavyweight
3204,Light Heavyweight
3205,Middleweight
3206,Lightweight
3207,Featherweight
3208,Flyweight
3209,Lightweight
3211,Lightweight
3212,Bantamweight
3213,Heavyweight
3215,Lightweight
3216,Middleweight
3217,Lightweight
3218,Welterweight
3219,Lightweight
3220,Featherweight
3221,Middleweight
3222,Welterweight
3223,Flyweight
3224,Featherweight
3225,Heavyweight
3226,Middleweight
3227,Welterweight
3228,Middleweight
3229,Welterweight
3230,Featherweight
3231,Welterweight
3233,Light Heavyweight
3234,Bantamweight
3235,Lightweight
3236,Middleweight
3237,Welterweight
3238,Bantamweight
3239,Heavyweight
3240,Featherweight
3241,Welterweight
3242,Lightweight
3243,Heavyweight
3244,Middleweight
3245,Featherweight
3246,Light Heavyweight
3247,Middleweight
3248,Light Heavyweight
3249,Lightweight
3250,Featherweight
3251,Middleweight
3252,Flyweight
3253,Welterweight
3254,Light Heavyweight
3255,Featherweight
3256,Welterweight
3257,Welterweight
3258,Lightweight
3259,Welterweight
3260,Light Heavyweight
3261,Welterweight
3263,Featherweight
3264,Welterweight
3265,Lightweight
3266,Flyweight
3267,Middleweight
3268,Featherweight
3269,Light Heavyweight
3270,Lightweight
3271,Flyweight
3272,Welterweight
3273,Light Heavyweight
3274,Middleweight
3275,Middleweight
3276,Welterweight
3277,Welterweight
3278,Welterweight
3279,Heavyweight
3280,Featherweight
3281,Lightweight
3282,Bantamweight
3283,Welterweight
3284,Featherweight
3286,Light Heavyweight
3287,Welterweight
3288,Welterweight
3289,Welterweight
3291,Bantamweight
3292,Bantamweight
3293,Flyweight
3294,Lightweight
3295,Lightweight
3296,Middleweight
3297,Middleweight
3298,Welterweight
3299,Welterweight
3300,Featherweight
3301,Lightweight
3302,Lightweight
3303,Lightweight
3304,Bantamweight
3305,Featherweight
3306,Welterweight
3307,Featherweight
3308,Bantamweight
3309,Featherweight
3310,Heavyweight
3311,Flyweight
3312,Lightweight
3313,Lightweight
3314,Flyweight
3315,Middleweight
3316,Lightweight
3317,Middleweight
3318,Lightweight
3319,Welterweight
3320,Lightweight
3321,Heavyweight
3322,Lightweight
3323,Featherweight
3324,Bantamweight
3325,Bantamweight
3326,Bantamweight
3327,Lightweight
3328,Welterweight
3329,Heavyweight
3330,Middleweight
3331,Middleweight
3332,Bantamweight
3333,Middleweight
3334,Flyweight
3335,Featherweight
3336,Lightweight
3337,Lightweight
3338,Middleweight
3339,Flyweight
3340,Lightweight
3341,Lightweight
3342,Welterweight
3343,Featherweight
3344,Welterweight
3345,Bantamweight
3346,Featherweight
3347,Lightweight
3348,Bantamweight
3349,Lightweight
3350,Bantamweight
3351,Bantamweight
3352,Middleweight
3354,Heavyweight
3355,Lightweight
3356,Featherweight
3357,Middleweight
3358,Lightweight
3359,Welterweight
3360,Welterweight
3361,Featherweight
3362,Flyweight
3363,Bantamweight
3364,Featherweight
3365,Lightweight
3366,Welterweight
3367,Lightweight
3368,Lightweight
3369,Flyweight
3370,Lightweight
3371,Lightweight
3372,Flyweight
3373,Light Heavyweight
3374,Light Heavyweight
3375,Heavyweight
3376,Middleweight
3378,Bantamweight
3379,Middleweight
3380,Flyweight
3381,Middleweight
3382,Welterweight
3383,Lightweight
3385,Bantamweight
3388,Featherweight
3389,Featherweight
3390,Heavyweight
3391,Welterweight
3392,Flyweight
3393,Welterweight
3394,Light Heavyweight
3395,Welterweight
3396,Welterweight
3397,Flyweight
3398,Lightweight
3399,Middleweight
3400,Welterweight
3401,Bantamweight
3402,Welterweight
3403,Bantamweight
3404,Light Heavyweight
3405,Light Heavyweight
3406,Middleweight
3407,Light Heavyweight
3408,Welterweight
3409,Welterweight
3410,Featherweight
3411,Featherweight
3412,Middleweight
3413,Lightweight
3414,Lightweight
3415,Flyweight
3416,Middleweight
3418,Middleweight
3419,Lightweight
3420,Lightweight
3421,Lightweight
3422,Bantamweight
3423,Featherweight
3425,Middleweight
3426,Welterweight
3427,Middleweight
3428,Middleweight
3429,Light Heavyweight
3430,Lightweight
3431,Middleweight
3432,Flyweight
3433,Lightweight
3434,Middleweight
3436,Featherweight
3437,Featherweight
3438,Middleweight
3439,Heavyweight
3440,Heavyweight
3441,Lightweight
3442,Heavyweight
3443,Flyweight
3444,Middleweight
3445,Welterweight
3446,Lightweight
3447,Welterweight
3448,Lightweight
3449,Featherweight
3450,Bantamweight
3451,Welterweight
3452,Welterweight
3453,Light Heavyweight
3454,Light Heavyweight
3455,Welterweight
3456,Bantamweight
3457,Welterweight
3458,Welterweight
3459,Flyweight
3460,Lightweight
3461,Light Heavyweight
3462,Bantamweight
3463,Heavyweight
3464,Middleweight
3465,Lightweight
3466,Lightweight
3467,Bantamweight
3468,Welterweight
3469,Bantamweight
3470,Lightweight
3471,Lightweight
3472,Bantamweight
3473,Heavyweight
3474,Light Heavyweight
3475,Middleweight
3476,Flyweight
3477,Lightweight
3478,Middleweight
3479,Flyweight
3480,Featherweight
3481,Bantamweight
3482,Welterweight
