,weight_class
397,Featherweight
398,Heavyweight
399,Lightweight
400,Welterweight
401,Lightweight
402,Light Heavyweight
403,Lightweight
404,Flyweight
406,Welterweight
408,Flyweight
410,Middleweight
412,Lightweight
413,Welterweight
414,Welterweight
415,Bantamweight
416,Lightweight
417,Middleweight
418,Middleweight
419,Featherweight
420,Bantamweight
421,Flyweight
423,Light Heavyweight
425,Featherweight
426,Bantamweight
427,Middleweight
428,Lightweight
429,Heavyweight
430,Featherweight
431,Featherweight
432,Welterweight
433,Lightweight
434,Light Heavyweight
436,Heavyweight
437,Lightweight
438,Featherweight
439,Lightweight
440,Welterweight
441,Welterweight
442,Flyweight
445,Heavyweight
446,Flyweight
447,Welterweight
448,Lightweight
449,Lightweight
450,Light Heavyweight
451,Bantamweight
452,Light Heavyweight
453,Lightweight
454,Light Heavyweight
456,Heavyweight
457,Featherweight
458,Welterweight
459,Bantamweight
461,Middleweight
462,Featherweight
464,Lightweight
465,Heavyweight
467,Middleweight
468,Light Heavyweight
470,Welterweight
471,Light Heavyweight
472,Welterweight
473,Featherweight
474,Bantamweight
476,Bantamweight
477,Middleweight
478,Welterweight
480,Light Heavyweight
481,Welterweight
483,Lightweight
484,Flyweight
485,Lightweight
486,Welterweight
487,Bantamweight
488,Lightweight
489,Light Heavyweight
490,Bantamweight
492,Flyweight
494,Bantamweight
495,Featherweight
496,Middleweight
497,Middleweight
498,Featherweight
500,Featherweight
501,Bantamweight
503,Bantamweight
504,Welterweight
505,Heavyweight
506,Heavyweight
507,Lightweight
508,Lightweight
509,Heavyweight
510,Featherweight
512,Light Heavyweight
514,Bantamweight
515,Bantamweight
516,Bantamweight
517,Featherweight
519,Welterweight
520,Lightweight
521,Middleweight
523,Featherweight
524,Featherweight
525,Flyweight
527,Welterweight
528,Welterweight
529,Lightweight
530,Lightweight
531,Middleweight
532,Lightweight
533,Light Heavyweight
534,Welterweight
536,Flyweight
538,Welterweight
540,Light Heavyweight
542,Heavyweight
543,Featherweight
544,Heavyweight
545,Middleweight
546,Welterweight
548,Bantamweight
549,Bantamweight
550,Bantamweight
551,Featherweight
553,Welterweight
554,Featherweight
555,Light Heavyweight
556,Middleweight
557,Featherweight
558,Welterweight
559,Heavyweight
561,Flyweight
562,Bantamweight
563,Lightweight
565,Heavyweight
566,Welterweight
567,Middleweight
568,Featherweight
569,Middleweight
570,Lightweight
571,Bantamweight
572,Lightweight
573,Catch Weight
575,Bantamweight
578,Welterweight
579,Flyweight
580,Welterweight
582,Middleweight
583,Bantamweight
584,Light Heavyweight
585,Lightweight
586,Bantamweight
588,Lightweight
589,Lightweight
590,Lightweight
591,Heavyweight
592,Lightweight
595,Lightweight
596,Welterweight
597,Welterweight
598,Middleweight
599,Lightweight
600,Lightweight
601,Light Heavyweight
602,Welterweight
603,Middleweight
604,Light Heavyweight
605,Heavyweight
606,Bantamweight
607,Bantamweight
608,Featherweight
609,Bantamweight
610,Lightweight
613,Featherweight
614,Bantamweight
615,Featherweight
617,Flyweight
618,Light Heavyweight
620,Lightweight
621,Middleweight
622,Lightweight
623,Welterweight
624,Light Heavyweight
625,Light Heavyweight
626,Welterweight
627,Middleweight
628,Middleweight
629,Welterweight
630,Featherweight
632,Lightweight
633,Bantamweight
634,Middleweight
635,Lightweight
636,Heavyweight
637,Welterweight
638,Heavyweight
639,Welterweight
640,Welterweight
641,Lightweight
644,Bantamweight
645,Heavyweight
646,Welterweight
647,Flyweight
649,Light Heavyweight
650,Middleweight
651,Featherweight
653,Bantamweight
655,Bantamweight
656,Featherweight
658,Featherweight
659,Welterweight
661,Lightweight
662,Middleweight
663,Light Heavyweight
664,Lightweight
665,Welterweight
666,Flyweight
667,Bantamweight
668,Welterweight
669,Middleweight
671,Featherweight
672,Light Heavyweight
673,Lightweight
675,Middleweight
676,Featherweight
678,Featherweight
679,Bantamweight
680,Welterweight
681,Middleweight
682,Heavyweight
683,Welterweight
684,Lightweight
685,Lightweight
686,Heavyweight
687,Welterweight
689,Lightweight
690,Featherweight
691,Heavyweight
693,Heavyweight
694,Welterweight
696,Heavyweight
697,Lightweight
699,Featherweight
700,Lightweight
701,Light Heavyweight
702,Flyweight
703,Bantamweight
705,Welterweight
706,Middleweight
707,Welterweight
708,Heavyweight
709,Lightweight
710,Light Heavyweight
711,Featherweight
712,Middleweight
713,Heavyweight
715,Welterweight
716,Featherweight
717,Featherweight
718,Heavyweight
719,Welterweight
720,Light Heavyweight
721,Welterweight
722,Light Heavyweight
723,Light Heavyweight
724,Welterweight
725,Middleweight
726,Welterweight
727,Lightweight
729,Bantamweight
730,Light Heavyweight
731,Lightweight
732,Middleweight
733,Middleweight
734,Welterweight
735,Featherweight
736,Lightweight
737,Welterweight
738,Featherweight
741,Featherweight
742,Light Heavyweight
743,Featherweight
744,Light Heavyweight
745,Middleweight
746,Bantamweight
747,Heavyweight
748,Featherweight
749,Lightweight
750,Flyweight
751,Bantamweight
753,Bantamweight
754,Welterweight
755,Featherweight
757,Bantamweight
758,Bantamweight
759,Welterweight
761,Middleweight
762,Welterweight
763,Featherweight
764,Flyweight
766,Middleweight
767,Heavyweight
768,Heavyweight
770,Bantamweight
771,Welterweight
772,Featherweight
773,Featherweight
774,Lightweight
776,Light Heavyweight
777,Bantamweight
779,Lightweight
780,Bantamweight
781,Heavyweight
783,Bantamweight
785,Featherweight
787,Middleweight
788,Bantamweight
790,Light Heavyweight
