,#,R_fighter,B_fighter,Referee,date,location,Winner,weight_class,no_of_rounds,B_losses,B_total_rounds_fought,B_wins,B_Stance,B_Height_cms,B_Weight_lbs,R_losses,R_total_rounds_fought,R_wins,R_Stance,R_Height_cms,R_Weight_lbs,B_age,R_age
0,0,Henry Cejudo,Marlon Moraes,Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Red,Bantamweight,5,1.0,9.0,4.0,Orthodox,167.64,135.0,2.0,27.0,8.0,Orthodox,162.56,135.0,31.0,32.0
1,1,Valentina Shevchenko,Jessica Eye,Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Red,Women's Flyweight,5,6.0,29.0,4.0,Orthodox,167.64,125.0,2.0,25.0,5.0,Southpaw,165.1,125.0,32.0,31.0
2,2,Tony Ferguson,Donald Cerrone,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Red,Lightweight,3,8.0,68.0,23.0,Orthodox,185.42,155.0,1.0,33.0,14.0,Orthodox,180.34,155.0,36.0,35.0
3,3,Jimmie Rivera,Petr Yan,Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Blue,Bantamweight,3,0.0,9.0,4.0,Switch,170.18,135.0,2.0,20.0,6.0,Orthodox,162.56,135.0,26.0,29.0
4,4,Tai Tuivasa,Blagoy Ivanov,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Blue,Heavyweight,3,1.0,8.0,1.0,Southpaw,180.34,250.0,1.0,7.0,3.0,Southpaw,187.96,264.0,32.0,26.0
5,5,Tatiana Suarez,Nina Ansaroff,Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Red,Women's Strawweight,3,2.0,18.0,4.0,Orthodox,165.1,115.0,0.0,8.0,4.0,,165.1,115.0,33.0,28.0
6,6,Aljamain Sterling,Pedro Munhoz,Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Red,Bantamweight,3,4.0,23.0,8.0,Orthodox,167.64,135.0,3.0,32.0,9.0,Orthodox,170.18,135.0,32.0,29.0
7,7,Karolina Kowalkiewicz,Alexa Grasso,Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Blue,Women's Strawweight,3,2.0,10.0,2.0,Orthodox,165.1,115.0,4.0,25.0,5.0,Orthodox,160.02,115.0,25.0,33.0
8,8,Ricardo Lamas,Calvin Kattar,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Blue,Featherweight,3,1.0,10.0,3.0,Orthodox,180.34,145.0,5.0,34.0,10.0,Orthodox,172.72,145.0,31.0,37.0
9,9,Yan Xiaonan,Angela Hill,Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Red,Women's Strawweight,3,6.0,26.0,4.0,Orthodox,160.02,115.0,0.0,9.0,3.0,Orthodox,165.1,115.0,34.0,29.0
10,10,Bevon Lewis,Darren Stewart,Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Blue,Middleweight,3,5.0,14.0,2.0,Orthodox,182.88,185.0,1.0,3.0,0.0,Orthodox,190.5,185.0,28.0,28.0
11,11,Eddie Wineland,Grigorii Popov,Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Red,Bantamweight,3,0.0,0.0,0.0,Switch,170.18,135.0,7.0,29.0,5.0,Orthodox,170.18,135.0,35.0,34.0
12,12,Katlyn Chookagian,Joanne Calderwood,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Red,Women's Flyweight,3,3.0,18.0,5.0,Orthodox,167.64,125.0,2.0,18.0,4.0,Orthodox,175.26,125.0,33.0,30.0
13,13,Alexander Gustafsson,Anthony Smith,Marc Goddard,2019-06-01,"Stockholm, Sweden",Blue,Light Heavyweight,5,4.0,27.0,7.0,Orthodox,193.04,205.0,5.0,38.0,10.0,Orthodox,195.58,205.0,30.0,32.0
14,14,Jimi Manuwa,Aleksandar Rakic,Kevin Sataki,2019-06-01,"Stockholm, Sweden",Blue,Light Heavyweight,3,0.0,7.0,3.0,Orthodox,193.04,205.0,5.0,21.0,6.0,Orthodox,185.42,205.0,27.0,39.0
15,15,Makwan Amirkhani,Chris Fishgold,Marc Goddard,2019-06-01,"Stockholm, Sweden",Red,Featherweight,3,1.0,3.0,1.0,Orthodox,172.72,145.0,1.0,11.0,4.0,Southpaw,177.8,145.0,26.0,30.0
16,16,Damir Hadzovic,Christos Giagos,Rich Mitchell,2019-06-01,"Stockholm, Sweden",Blue,Lightweight,3,3.0,10.0,2.0,Orthodox,177.8,155.0,2.0,12.0,3.0,Orthodox,175.26,155.0,29.0,32.0
17,17,Daniel Teymur,Sung Bin Jo,Rebin Saber,2019-06-01,"Stockholm, Sweden",Red,Featherweight,3,0.0,0.0,0.0,Orthodox,182.88,145.0,3.0,8.0,0.0,Orthodox,165.1,145.0,26.0,31.0
18,18,Rostem Akman,Sergey Khandozhko,Leon Roberts,2019-06-01,"Stockholm, Sweden",Blue,Welterweight,3,0.0,0.0,0.0,Orthodox,185.42,170.0,0.0,0.0,0.0,Switch,177.8,170.0,27.0,27.0
19,19,Tonya Evinger,Lina Lansberg,Kevin Sataki,2019-06-01,"Stockholm, Sweden",Blue,Women's Bantamweight,3,3.0,13.0,2.0,Orthodox,170.18,135.0,2.0,4.0,0.0,Orthodox,170.18,135.0,37.0,37.0
20,20,Stevie Ray,Leonardo Santos,Marc Goddard,2019-06-01,"Stockholm, Sweden",Blue,Lightweight,3,1.0,14.0,5.0,Orthodox,182.88,155.0,3.0,22.0,6.0,Southpaw,177.8,155.0,39.0,29.0
21,21,Nick Hein,Frank Camacho,Leon Roberts,2019-06-01,"Stockholm, Sweden",Blue,Lightweight,3,2.0,8.0,1.0,Orthodox,177.8,170.0,3.0,19.0,4.0,Southpaw,167.64,155.0,30.0,35.0
22,22,Bea Malecki,Duda Santana,,2019-06-01,"Stockholm, Sweden",Red,Women's Bantamweight,3,0.0,0.0,0.0,Orthodox,170.18,145.0,0.0,0.0,0.0,Orthodox,175.26,135.0,23.0,27.0
23,23,Darko Stosic,Devin Clark,Kevin Sataki,2019-06-01,"Stockholm, Sweden",Blue,Light Heavyweight,3,3.0,13.0,3.0,Orthodox,182.88,205.0,0.0,1.0,1.0,Orthodox,182.88,205.0,29.0,27.0
24,24,Joel Alvarez,Danilo Belluardo,Rebin Saber,2019-06-01,"Stockholm, Sweden",Red,Lightweight,3,0.0,0.0,0.0,Southpaw,182.88,155.0,1.0,3.0,0.0,Orthodox,190.5,155.0,24.0,25.0
25,25,Rafael Dos Anjos,Kevin Lee,Dan Miragliotta,2019-05-18,"Rochester, New York, USA",Red,Welterweight,5,4.0,36.0,10.0,Orthodox,175.26,170.0,9.0,74.0,17.0,Southpaw,172.72,170.0,26.0,34.0
26,26,Antonio Carlos Junior,Ian Heinisch,Todd Ronald Anderson,2019-05-18,"Rochester, New York, USA",Blue,Middleweight,3,0.0,3.0,1.0,Orthodox,180.34,185.0,3.0,21.0,6.0,Orthodox,187.96,185.0,30.0,29.0
27,27,Megan Anderson,Felicia Spencer,Keith Peterson,2019-05-18,"Rochester, New York, USA",Blue,Women's Featherweight,3,0.0,0.0,0.0,Orthodox,167.64,145.0,1.0,4.0,1.0,Orthodox,182.88,145.0,28.0,29.0
28,28,Vicente Luque,Derrick Krantz,Dan Miragliotta,2019-05-18,"Rochester, New York, USA",Red,Welterweight,3,0.0,0.0,0.0,Orthodox,177.8,170.0,2.0,18.0,8.0,Orthodox,180.34,170.0,31.0,27.0
29,29,Charles Oliveira,Nik Lentz,Todd Ronald Anderson,2019-05-18,"Rochester, New York, USA",Red,Lightweight,3,8.0,59.0,14.0,Orthodox,172.72,155.0,9.0,42.0,14.0,Orthodox,177.8,155.0,34.0,29.0
30,30,Davi Ramos,Austin Hubbard,Keith Peterson,2019-05-18,"Rochester, New York, USA",Red,Lightweight,3,0.0,0.0,0.0,Orthodox,177.8,155.0,1.0,8.0,3.0,Orthodox,167.64,155.0,27.0,32.0
31,31,Aspen Ladd,Sijara Eubanks,Keith Peterson,2019-05-18,"Rochester, New York, USA",Red,Women's Bantamweight,3,0.0,6.0,2.0,,162.56,135.0,0.0,3.0,2.0,Orthodox,167.64,135.0,34.0,24.0
32,32,Desmond Green,Charles Jourdain,Dan Miragliotta,2019-05-18,"Rochester, New York, USA",Red,Lightweight,3,0.0,0.0,0.0,Switch,175.26,155.0,3.0,16.0,3.0,Southpaw,177.8,155.0,23.0,29.0
33,33,Danny Roberts,Michel Pereira,Todd Ronald Anderson,2019-05-18,"Rochester, New York, USA",Blue,Welterweight,3,0.0,0.0,0.0,Orthodox,185.42,170.0,3.0,17.0,5.0,Southpaw,185.42,170.0,25.0,31.0
34,34,Michael Trizano,Grant Dawson,Keith Peterson,2019-05-18,"Rochester, New York, USA",Blue,Featherweight,3,0.0,3.0,1.0,Switch,177.8,145.0,0.0,6.0,2.0,Orthodox,180.34,155.0,25.0,27.0
35,35,Patrick Cummins,Ed Herman,Dan Miragliotta,2019-05-18,"Rochester, New York, USA",Blue,Light Heavyweight,3,11.0,47.0,10.0,Orthodox,185.42,205.0,6.0,26.0,6.0,Orthodox,187.96,205.0,38.0,38.0
36,36,Zak Cummings,Trevin Giles,Todd Ronald Anderson,2019-05-18,"Rochester, New York, USA",Red,Middleweight,3,0.0,5.0,2.0,Orthodox,182.88,185.0,3.0,22.0,7.0,Southpaw,182.88,185.0,26.0,34.0
37,37,Julio Arce,Julian Erosa,Keith Peterson,2019-05-18,"Rochester, New York, USA",Red,Featherweight,3,3.0,9.0,1.0,Southpaw,185.42,145.0,1.0,9.0,2.0,Southpaw,170.18,145.0,29.0,29.0
38,38,Rose Namajunas,Jessica Andrade,Marc Goddard,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Women's Strawweight,5,4.0,33.0,10.0,Orthodox,154.94,115.0,2.0,23.0,6.0,Orthodox,165.1,115.0,27.0,26.0
39,39,Jared Cannonier,Anderson Silva,Herb Dean,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Middleweight,3,6.0,58.0,17.0,Southpaw,187.96,185.0,4.0,17.0,4.0,Switch,180.34,185.0,44.0,35.0
40,40,Jose Aldo,Alexander Volkanovski,Marc Goddard,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Featherweight,3,0.0,15.0,6.0,Orthodox,167.64,145.0,3.0,45.0,10.0,Orthodox,170.18,145.0,30.0,32.0
41,41,Thiago Alves,Laureano Staropoli,Osiris Maia,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Welterweight,3,0.0,3.0,1.0,Orthodox,185.42,170.0,10.0,61.0,15.0,Orthodox,175.26,170.0,26.0,35.0
42,42,Irene Aldana,Bethe Correia,Eduardo Herdy,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Women's Bantamweight,3,4.0,21.0,4.0,Orthodox,165.1,135.0,2.0,12.0,2.0,Orthodox,175.26,135.0,35.0,31.0
43,43,Rogerio Nogueira,Ryan Spann,Herb Dean,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Light Heavyweight,3,0.0,3.0,1.0,Orthodox,195.58,205.0,5.0,24.0,6.0,Southpaw,187.96,205.0,27.0,42.0
44,44,Thiago Moises,Kurt Holobaugh,Marc Goddard,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Lightweight,3,3.0,7.0,0.0,Orthodox,180.34,155.0,1.0,3.0,0.0,Orthodox,175.26,155.0,32.0,24.0
45,45,Warlley Alves,Sergio Moraes,Osiris Maia,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Welterweight,3,4.0,31.0,8.0,Orthodox,182.88,170.0,3.0,22.0,6.0,Orthodox,180.34,170.0,36.0,28.0
46,46,BJ Penn,Clay Guida,Herb Dean,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Lightweight,3,12.0,67.0,14.0,Orthodox,170.18,155.0,14.0,74.0,12.0,Orthodox,175.26,155.0,37.0,40.0
47,47,Luana Carolina,Priscila Cachoeira,Fernando Portella,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Women's Flyweight,3,2.0,5.0,0.0,Orthodox,170.18,125.0,0.0,0.0,0.0,Orthodox,167.64,125.0,30.0,25.0
48,48,Raoni Barcelos,Carlos Huachin,Eduardo Herdy,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Bantamweight,3,0.0,0.0,0.0,Southpaw,162.56,135.0,0.0,5.0,2.0,Orthodox,170.18,135.0,22.0,32.0
49,49,Talita Bernardo,Viviane Araujo,Fernando Portella,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Women's Bantamweight,3,0.0,0.0,0.0,Orthodox,162.56,135.0,2.0,9.0,1.0,Orthodox,162.56,135.0,32.0,32.0
50,50,Al Iaquinta,Donald Cerrone,Jerin Valel,2019-05-04,"Ottawa, Ontario, Canada",Blue,Lightweight,5,8.0,63.0,22.0,Orthodox,185.42,155.0,3.0,33.0,9.0,Orthodox,177.8,155.0,36.0,32.0
51,51,Derek Brunson,Elias Theodorou,Todd Ronald Anderson,2019-05-04,"Ottawa, Ontario, Canada",Red,Middleweight,3,2.0,28.0,8.0,Orthodox,185.42,185.0,5.0,22.0,9.0,Southpaw,185.42,185.0,30.0,35.0
52,52,Cub Swanson,Shane Burgos,Yves Lavigne,2019-05-04,"Ottawa, Ontario, Canada",Blue,Featherweight,3,1.0,13.0,4.0,Orthodox,180.34,145.0,6.0,46.0,10.0,Orthodox,172.72,145.0,28.0,35.0
53,53,Brad Katona,Merab Dvalishvili,Kevin MacDonald,2019-05-04,"Ottawa, Ontario, Canada",Blue,Bantamweight,3,2.0,9.0,1.0,Orthodox,167.64,135.0,0.0,6.0,2.0,Orthodox,167.64,135.0,28.0,27.0
54,54,Walt Harris,Serghei Spivac,Jerin Valel,2019-05-04,"Ottawa, Ontario, Canada",Red,Heavyweight,3,0.0,0.0,0.0,Orthodox,190.5,260.0,7.0,20.0,4.0,Southpaw,195.58,250.0,24.0,35.0
55,55,Marc-Andre Barriault,Andrew Sanchez,Todd Ronald Anderson,2019-05-04,"Ottawa, Ontario, Canada",Blue,Middleweight,3,2.0,15.0,3.0,Orthodox,185.42,185.0,0.0,0.0,0.0,Orthodox,185.42,185.0,31.0,29.0
56,56,Macy Chiasson,Sarah Moras,Yves Lavigne,2019-05-04,"Ottawa, Ontario, Canada",Red,Women's Bantamweight,3,3.0,13.0,2.0,,170.18,135.0,0.0,3.0,2.0,,180.34,135.0,31.0,27.0
57,57,Aiemann Zahabi,Vince Morales,Kevin MacDonald,2019-05-04,"Ottawa, Ontario, Canada",Blue,Bantamweight,3,1.0,3.0,0.0,Orthodox,170.18,135.0,1.0,6.0,1.0,Orthodox,172.72,135.0,28.0,31.0
58,58,Nordine Taleb,Kyle Prepolec,Jerin Valel,2019-05-04,"Ottawa, Ontario, Canada",Red,Welterweight,3,0.0,0.0,0.0,Southpaw,177.8,170.0,4.0,23.0,6.0,Orthodox,185.42,170.0,29.0,37.0
59,59,Kyle Nelson,Matt Sayles,Todd Ronald Anderson,2019-05-04,"Ottawa, Ontario, Canada",Blue,Featherweight,3,1.0,3.0,0.0,Orthodox,170.18,145.0,1.0,2.0,0.0,Switch,180.34,155.0,25.0,28.0
60,60,Arjan Bhullar,Juan Adams,Yves Lavigne,2019-05-04,"Ottawa, Ontario, Canada",Red,Heavyweight,3,0.0,3.0,1.0,Orthodox,195.58,265.0,1.0,8.0,2.0,Orthodox,185.42,245.0,27.0,32.0
61,61,Mitch Gagnon,Cole Smith,Kevin MacDonald,2019-05-04,"Ottawa, Ontario, Canada",Blue,Bantamweight,3,0.0,0.0,0.0,Orthodox,180.34,135.0,3.0,15.0,4.0,Southpaw,165.1,135.0,30.0,34.0
62,62,Jacare Souza,Jack Hermansson,Dan Miragliotta,2019-04-27,"Sunrise, Florida, USA",Blue,Middleweight,5,2.0,13.0,6.0,Orthodox,185.42,185.0,3.0,23.0,9.0,Orthodox,185.42,185.0,30.0,39.0
63,63,Greg Hardy,Dmitrii Smoliakov,Keith Peterson,2019-04-27,"Sunrise, Florida, USA",Red,Heavyweight,3,2.0,3.0,0.0,Switch,187.96,253.0,1.0,2.0,0.0,Orthodox,195.58,265.0,36.0,30.0
64,64,Alex Oliveira,Mike Perry,Larry Downs,2019-04-27,"Sunrise, Florida, USA",Blue,Welterweight,3,4.0,20.0,5.0,Orthodox,177.8,170.0,5.0,30.0,9.0,Orthodox,180.34,170.0,27.0,31.0
65,65,Glover Teixeira,Ion Cutelaba,Alan Abeles,2019-04-27,"Sunrise, Florida, USA",Red,Light Heavyweight,3,2.0,11.0,3.0,Southpaw,185.42,205.0,5.0,36.0,11.0,Orthodox,187.96,205.0,25.0,39.0
66,66,John Lineker,Cory Sandhagen,Dan Miragliotta,2019-04-27,"Sunrise, Florida, USA",Blue,Bantamweight,3,0.0,5.0,3.0,Switch,180.34,135.0,3.0,38.0,12.0,Orthodox,160.02,135.0,27.0,28.0
67,67,Roosevelt Roberts,Thomas Gifford,Keith Peterson,2019-04-27,"Sunrise, Florida, USA",Red,Lightweight,3,0.0,0.0,0.0,Orthodox,185.42,155.0,0.0,1.0,1.0,Orthodox,187.96,155.0,26.0,25.0
68,68,Ben Saunders,Takashi Sato,Larry Downs,2019-04-27,"Sunrise, Florida, USA",Blue,Welterweight,3,0.0,0.0,0.0,Southpaw,177.8,170.0,8.0,33.0,9.0,Orthodox,187.96,170.0,28.0,36.0
69,69,Andrei Arlovski,Augusto Sakai,Dan Miragliotta,2019-04-27,"Sunrise, Florida, USA",Blue,Heavyweight,3,0.0,3.0,1.0,Orthodox,190.5,265.0,12.0,59.0,16.0,Orthodox,190.5,240.0,27.0,40.0
70,70,Carla Esparza,Virna Jandiroba,Alan Abeles,2019-04-27,"Sunrise, Florida, USA",Red,Women's Strawweight,3,0.0,0.0,0.0,Orthodox,160.02,115.0,4.0,20.0,3.0,,154.94,115.0,30.0,31.0
71,71,Gilbert Burns,Mike Davis,Keith Peterson,2019-04-27,"Sunrise, Florida, USA",Red,Lightweight,3,0.0,0.0,0.0,Orthodox,182.88,155.0,3.0,22.0,7.0,Orthodox,177.8,155.0,26.0,32.0
72,72,Jim Miller,Jason Gonzalez,Larry Downs,2019-04-27,"Sunrise, Florida, USA",Red,Lightweight,3,2.0,4.0,1.0,Southpaw,187.96,155.0,13.0,71.0,18.0,Southpaw,172.72,155.0,29.0,35.0
73,73,Angela Hill,Jodie Esquibel,Alan Abeles,2019-04-27,"Sunrise, Florida, USA",Red,Women's Strawweight,3,2.0,6.0,0.0,Orthodox,154.94,115.0,6.0,23.0,3.0,Orthodox,160.02,115.0,32.0,34.0
74,74,Court McGee,Dhiego Lima,Dan Miragliotta,2019-04-27,"Sunrise, Florida, USA",Blue,Welterweight,3,5.0,12.0,2.0,Orthodox,187.96,170.0,6.0,39.0,8.0,Orthodox,180.34,170.0,30.0,34.0
75,75,Alistair Overeem,Aleksei Oleinik,Marc Goddard,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Red,Heavyweight,5,2.0,12.0,6.0,Orthodox,187.96,240.0,6.0,29.0,9.0,Orthodox,193.04,265.0,41.0,38.0
76,76,Islam Makhachev,Arman Tsarukyan,Herb Dean,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Red,Lightweight,3,0.0,0.0,0.0,Orthodox,170.18,155.0,1.0,11.0,5.0,Orthodox,177.8,155.0,22.0,27.0
77,77,Sergei Pavlovich,Marcelo Golm,Leon Roberts,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Red,Heavyweight,3,2.0,7.0,1.0,Orthodox,190.5,249.0,1.0,1.0,0.0,Southpaw,190.5,257.0,26.0,26.0
78,78,Roxanne Modafferi,Antonina Shevchenko,Marc Goddard,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Red,Women's Flyweight,3,0.0,3.0,1.0,Southpaw,172.72,125.0,3.0,13.0,1.0,,170.18,125.0,34.0,36.0
79,79,Krzysztof Jotko,Alen Amedovski,Herb Dean,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Red,Middleweight,3,0.0,0.0,0.0,Orthodox,177.8,185.0,4.0,26.0,6.0,Southpaw,185.42,185.0,31.0,29.0
80,80,Movsar Evloev,Seungwoo Choi,Vjacheslav Kiselev,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Red,Featherweight,3,0.0,0.0,0.0,Orthodox,182.88,145.0,0.0,0.0,0.0,Orthodox,170.18,145.0,26.0,25.0
81,81,Sultan Aliev,Keita Nakamura,Leon Roberts,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Red,Welterweight,3,6.0,29.0,4.0,Southpaw,180.34,170.0,2.0,6.0,1.0,Orthodox,180.34,170.0,34.0,34.0
82,82,Alexander Yakovlev,Alex Da Silva,Marc Goddard,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Red,Lightweight,3,0.0,0.0,0.0,Orthodox,172.72,155.0,4.0,15.0,2.0,Southpaw,190.5,155.0,23.0,34.0
83,83,Marcin Tybura,Shamil Abdurakhimov,Herb Dean,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Blue,Heavyweight,3,2.0,15.0,4.0,Orthodox,190.5,235.0,3.0,22.0,4.0,Orthodox,190.5,249.0,37.0,33.0
84,84,Gadzhimurad Antigulov,Michal Oleksiejczuk,Leon Roberts,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Blue,Light Heavyweight,3,1.0,4.0,1.0,Southpaw,182.88,205.0,1.0,3.0,2.0,Orthodox,180.34,205.0,24.0,32.0
85,85,Magomed Mustafaev,Rafael Fiziev,Vjacheslav Kiselev,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Red,Lightweight,3,0.0,0.0,0.0,Switch,172.72,155.0,1.0,5.0,2.0,Orthodox,172.72,155.0,26.0,30.0
86,86,Max Holloway,Dustin Poirier,Blake Grice,2019-04-13,"Atlanta, Georgia, USA",Blue,Lightweight,5,5.0,45.0,16.0,Southpaw,175.26,155.0,3.0,50.0,16.0,Orthodox,180.34,155.0,30.0,27.0
87,87,Kelvin Gastelum,Israel Adesanya,Marc Goddard,2019-04-13,"Atlanta, Georgia, USA",Blue,Middleweight,5,0.0,14.0,5.0,Switch,193.04,185.0,4.0,35.0,10.0,Southpaw,175.26,185.0,29.0,27.0
88,88,Eryk Anders,Khalil Rountree Jr.,Jason Herzog,2019-04-13,"Atlanta, Georgia, USA",Blue,Light Heavyweight,3,4.0,11.0,3.0,Southpaw,185.42,205.0,3.0,18.0,3.0,Southpaw,185.42,185.0,29.0,31.0
89,89,Alan Jouban,Dwight Grant,George Allen,2019-04-13,"Atlanta, Georgia, USA",Blue,Welterweight,3,1.0,4.0,1.0,Switch,185.42,170.0,4.0,21.0,7.0,Southpaw,182.88,170.0,34.0,37.0
90,90,Ovince Saint Preux,Nikita Krylov,Blake Grice,2019-04-13,"Atlanta, Georgia, USA",Blue,Light Heavyweight,3,4.0,15.0,6.0,Orthodox,190.5,205.0,7.0,41.0,11.0,Southpaw,190.5,205.0,27.0,36.0
91,91,Jalin Turner,Matt Frevola,Marc Goddard,2019-04-13,"Atlanta, Georgia, USA",Blue,Lightweight,3,2.0,4.0,0.0,Orthodox,175.26,155.0,1.0,2.0,1.0,Southpaw,190.5,155.0,28.0,23.0
92,92,Wilson Reis,Alexandre Pantoja,Jason Herzog,2019-04-13,"Atlanta, Georgia, USA",Blue,Flyweight,3,1.0,13.0,4.0,Orthodox,165.1,125.0,5.0,31.0,7.0,Southpaw,162.56,125.0,28.0,34.0
93,93,Max Griffin,Zelim Imadaev,George Allen,2019-04-13,"Atlanta, Georgia, USA",Red,Welterweight,3,0.0,0.0,0.0,Orthodox,182.88,170.0,4.0,16.0,2.0,Orthodox,180.34,170.0,24.0,33.0
94,94,Boston Salmon,Khalid Taha,Blake Grice,2019-04-13,"Atlanta, Georgia, USA",Blue,Bantamweight,3,1.0,3.0,0.0,Orthodox,165.1,135.0,0.0,0.0,0.0,Southpaw,175.26,135.0,27.0,28.0
95,95,Curtis Millender,Belal Muhammad,Marc Goddard,2019-04-13,"Atlanta, Georgia, USA",Blue,Welterweight,3,3.0,22.0,5.0,Orthodox,180.34,170.0,1.0,9.0,3.0,Orthodox,187.96,170.0,30.0,31.0
96,96,Montel Jackson,Andre Soukhamthath,Jason Herzog,2019-04-13,"Atlanta, Georgia, USA",Red,Bantamweight,3,3.0,14.0,2.0,Orthodox,175.26,135.0,1.0,4.0,1.0,Southpaw,177.8,135.0,30.0,26.0
97,97,Lauren Mueller,Poliana Botelho,George Allen,2019-04-13,"Atlanta, Georgia, USA",Blue,Women's Flyweight,3,1.0,5.0,2.0,Orthodox,172.72,115.0,1.0,4.0,1.0,Orthodox,165.1,125.0,30.0,27.0
98,98,Brandon Davis,Randy Costa,Jason Herzog,2019-04-13,"Atlanta, Georgia, USA",Red,Bantamweight,3,0.0,0.0,0.0,Switch,175.26,135.0,3.0,11.0,1.0,Orthodox,177.8,135.0,24.0,28.0
99,99,Edson Barboza,Justin Gaethje,Keith Peterson,2019-03-30,"Philadelphia, Pennsylvania, USA",Blue,Lightweight,5,2.0,10.0,2.0,Orthodox,180.34,155.0,6.0,51.0,14.0,Orthodox,180.34,155.0,30.0,33.0
100,100,David Branch,Jack Hermansson,Dan Miragliotta,2019-03-30,"Philadelphia, Pennsylvania, USA",Blue,Middleweight,3,2.0,12.0,5.0,Orthodox,185.42,185.0,4.0,19.0,4.0,Orthodox,185.42,185.0,30.0,37.0
101,101,Josh Emmett,Michael Johnson,Keith Peterson,2019-03-30,"Philadelphia, Pennsylvania, USA",Red,Featherweight,3,9.0,50.0,11.0,Southpaw,177.8,145.0,2.0,15.0,4.0,Orthodox,167.64,145.0,32.0,34.0
102,102,Karolina Kowalkiewicz,Michelle Waterson,Dan Miragliotta,2019-03-30,"Philadelphia, Pennsylvania, USA",Blue,Women's Strawweight,3,2.0,15.0,4.0,Orthodox,160.02,115.0,3.0,22.0,5.0,Orthodox,160.02,115.0,33.0,33.0
103,103,Kennedy Nzechukwu,Paul Craig,Keith Peterson,2019-03-30,"Philadelphia, Pennsylvania, USA",Blue,Light Heavyweight,3,3.0,10.0,2.0,Orthodox,190.5,205.0,0.0,0.0,0.0,,,,31.0,
104,104,Sodiq Yusuff,Sheymon Moraes,Dan Miragliotta,2019-03-30,"Philadelphia, Pennsylvania, USA",Red,Featherweight,3,1.0,9.0,2.0,Orthodox,172.72,145.0,0.0,1.0,1.0,Orthodox,175.26,145.0,28.0,25.0
105,105,Marina Rodriguez,Jessica Aguilar,Keith Peterson,2019-03-30,"Philadelphia, Pennsylvania, USA",Red,Women's Strawweight,3,3.0,10.0,1.0,Orthodox,160.02,115.0,1.0,3.0,0.0,Orthodox,167.64,115.0,36.0,31.0
106,106,Ross Pearson,Desmond Green,James Chappell,2019-03-30,"Philadelphia, Pennsylvania, USA",Blue,Lightweight,3,3.0,15.0,2.0,Southpaw,177.8,155.0,13.0,65.0,12.0,Orthodox,172.72,155.0,29.0,34.0
107,107,Enrique Barzola,Kevin Aguilar,Bill Bookwalter,2019-03-30,"Philadelphia, Pennsylvania, USA",Blue,Featherweight,3,0.0,3.0,1.0,Orthodox,170.18,145.0,1.0,18.0,5.0,,170.18,145.0,30.0,29.0
108,108,Kevin Holland,Gerald Meerschaert,Dan Miragliotta,2019-03-30,"Philadelphia, Pennsylvania, USA",Red,Middleweight,3,2.0,9.0,4.0,Southpaw,185.42,185.0,1.0,6.0,1.0,Orthodox,190.5,185.0,31.0,26.0
