,Red,R_Height_cms,Blue,B_Height_cms,height_dif,ganador,ganador_height
1319,Rani Yahya,167.64,Matthew Lopez,170.18,2.54,Rani Yahya,alto
1320,Daniel Cormier,180.34,Anderson Silva,187.96,7.62,Daniel Cormier,alto
1321,Cain Velasquez,185.42,Travis Browne,198.12,12.7,Cain Velasquez,alto
1322,Joaquim Silva,172.72,Andrew Holbrook,180.34,7.62,Joaquim Silva,alto
1323,Cezar Ferreira,185.42,Anthony Smith,193.04,7.62,Cezar Ferreira,alto
1324,John Makdessi,172.72,Mehdi Baghdad,185.42,12.7,John Makdessi,alto
1325,Vicente Luque,180.34,Alvaro Herrera,182.88,2.54,Vicente Luque,alto
1326,Steve Bosse,180.34,Sean O'Connell,185.42,5.08,Steve Bosse,alto
1327,Olivier Aubin-Mercier,175.26,Thibault Gouti,177.8,2.54,Olivier Aubin-Mercier,alto
1328,Elias Theodorou,185.42,Sam Alvey,187.96,2.54,Elias Theodorou,alto
1329,Randa Markos,162.56,Jocelyn Jones-Lybarger,170.18,7.62,Randa Markos,alto
1330,Colby Covington,180.34,Jonathan Meunier,190.5,10.16,Colby Covington,alto
1331,Ali Bagautinov,162.56,Geane Herrera,165.1,2.54,Ali Bagautinov,alto
1332,Dustin Poirier,175.26,Bobby Green,177.8,2.54,Dustin Poirier,alto
1333,Beneil Dariush,177.8,James Vick,190.5,12.7,Beneil Dariush,alto
1334,Sean Strickland,185.42,Tom Breese,190.5,5.08,Sean Strickland,alto
1335,Abel Trujillo,172.72,Jordan Rinaldi,177.8,5.08,Abel Trujillo,alto
1336,Erik Koch,177.8,Shane Campbell,182.88,5.08,Erik Koch,alto
1337,Cris Cyborg,172.72,Leslie Smith,175.26,2.54,Cris Cyborg,alto
1338,Mauricio Rua,185.42,Corey Anderson,190.5,5.08,Mauricio Rua,alto
1339,Francisco Trinaldo,175.26,Yancy Medeiros,177.8,2.54,Francisco Trinaldo,alto
1340,John Lineker,160.02,Rob Font,172.72,12.7,John Lineker,alto
1341,Karolina Kowalkiewicz,160.02,Heather Jo Clark,167.64,7.62,Karolina Kowalkiewicz,alto
1342,Rustam Khabilov,172.72,Chris Wade,177.8,5.08,Rustam Khabilov,alto
1343,Leon Edwards,182.88,Dominic Waters,185.42,2.54,Leon Edwards,alto
1344,Demetrious Johnson,160.02,Henry Cejudo,162.56,2.54,Demetrious Johnson,alto
1345,Sergio Pettis,167.64,Chris Kelades,170.18,2.54,Sergio Pettis,alto
1346,Carla Esparza,154.94,Juliana Lima,165.1,10.16,Carla Esparza,alto
1347,Marcos Rogerio de Lima,185.42,Clint Hester,187.96,2.54,Marcos Rogerio de Lima,alto
1348,John Dodson,160.02,Manvel Gamburyan,165.1,5.08,John Dodson,alto
1349,Elizeu Zaleski dos Santos,180.34,Omari Akhmedov,182.88,2.54,Elizeu Zaleski dos Santos,alto
1350,Jared Cannonier,180.34,Cyril Asker,182.88,2.54,Jared Cannonier,alto
1351,Mark Hunt,177.8,Frank Mir,190.5,12.7,Mark Hunt,alto
1352,Daniel Kelly,182.88,Antonio Carlos Junior,187.96,5.08,Daniel Kelly,alto
1353,Ross Pearson,172.72,Chad Laprise,177.8,5.08,Ross Pearson,alto
1354,Darren Elkins,177.8,Chas Skelly,180.34,2.54,Darren Elkins,alto
1355,Arnold Allen,172.72,Yaotzin Meza,175.26,2.54,Arnold Allen,alto
1356,Daniel Omielanczuk,182.88,Jarjis Danho,190.5,7.62,Daniel Omielanczuk,alto
1357,David Teymur,175.26,Martin Svensson,185.42,10.16,David Teymur,alto
1358,Dennis Bermudez,167.64,Tatsuya Kawajiri,170.18,2.54,Dennis Bermudez,alto
1359,Lauren Murphy,170.18,Kelly Faszholz,172.72,2.54,Lauren Murphy,alto
1360,Roy Nelson,182.88,Jared Rosholt,187.96,5.08,Roy Nelson,alto
1361,Misha Cirkunov,190.5,Alex Nicholson,193.04,2.54,Misha Cirkunov,alto
1362,Patrick Cote,180.34,Ben Saunders,187.96,7.62,Patrick Cote,alto
1363,Chris Wade,177.8,Mehdi Baghdad,185.42,7.62,Chris Wade,alto
1364,Ilir Latifi,177.8,Sean O'Connell,185.42,7.62,Ilir Latifi,alto
1365,Rob Font,172.72,Joey Gomez,177.8,5.08,Rob Font,alto
1366,Robbie Lawler,180.34,Carlos Condit,187.96,7.62,Robbie Lawler,alto
1367,Abel Trujillo,172.72,Tony Sims,180.34,7.62,Abel Trujillo,alto
1368,Dustin Poirier,175.26,Joe Duffy,177.8,2.54,Dustin Poirier,alto
1369,Rafael Dos Anjos,172.72,Donald Cerrone,185.42,12.7,Rafael Dos Anjos,alto
1370,Nik Lentz,172.72,Danny Castillo,175.26,2.54,Nik Lentz,alto
