,Red,R_Height_cms,Blue,B_Height_cms,height_dif,ganador,ganador_height
0,Alistair Overeem,193.04,Alexander Volkov,200.66,7.62,Alexander Volkov,alto
1,Diego Ferreira,175.26,Beneil Dariush,177.8,2.54,Beneil Dariush,alto
2,Mike Rodriguez,193.04,Danilo Marques,198.12,5.08,Danilo Marques,alto
3,Andrew Sanchez,185.42,Makhmud Muradov,187.96,2.54,Makhmud Muradov,alto
4,Khalil Rountree Jr.,185.42,Marcin Prachnio,190.5,5.08,Marcin Prachnio,alto
5,Victoria Leonardo,165.1,Manon Fiorot,170.18,5.08,Manon Fiorot,alto
6,Joaquin Buckley,177.8,Alessio Di Chirico,182.88,5.08,Alessio Di Chirico,alto
7,Jacob Kilburn,175.26,Austin Lingo,177.8,2.54,Austin Lingo,alto
8,Tony Ferguson,177.8,Charles Oliveira,180.34,2.54,Charles Oliveira,alto
9,Renato Moicano,172.72,Rafael Fiziev,180.34,7.62,Rafael Fiziev,alto
10,Ovince Saint Preux,190.5,Jamahal Hill,193.04,2.54,Jamahal Hill,alto
11,Spike Carlyle,172.72,Bill Algeo,182.88,10.16,Bill Algeo,alto
12,Luke Sanders,167.64,Nate Maness,177.8,10.16,Nate Maness,alto
13,Mike Perry,177.8,Tim Means,187.96,10.16,Tim Means,alto
14,Mauricio Rua,185.42,Paul Craig,190.5,5.08,Paul Craig,alto
15,Louis Cosce,175.26,Sasha Palatnikov,185.42,10.16,Sasha Palatnikov,alto
16,Abdul Razak Alhassan,177.8,Khaos Williams,182.88,5.08,Khaos Williams,alto
17,Kay Hansen,157.48,Cory McKenna,160.02,2.54,Cory McKenna,alto
18,Claudia Gadelha,162.56,Yan Xiaonan,165.1,2.54,Yan Xiaonan,alto
19,Chris Gruetzemacher,172.72,Alexander Hernandez,175.26,2.54,Alexander Hernandez,alto
20,Jacob Malkoun,175.26,Phillip Hawes,182.88,7.62,Phillip Hawes,alto
21,Nathaniel Wood,167.64,Casey Kenney,170.18,2.54,Casey Kenney,alto
22,Alex Oliveira,180.34,Shavkat Rakhmonov,185.42,5.08,Shavkat Rakhmonov,alto
23,Claudio Silva,180.34,James Krause,187.96,7.62,James Krause,alto
24,Thomas Almeida,170.18,Jonathan Martinez,172.72,2.54,Jonathan Martinez,alto
25,Mateusz Gamrot,177.8,Guram Kutateladze,180.34,2.54,Guram Kutateladze,alto
26,Jamie Mullarkey,182.88,Fares Ziam,185.42,2.54,Fares Ziam,alto
27,Gadzhimurad Antigulov,180.34,Maxim Grishin,190.5,10.16,Maxim Grishin,alto
28,Marlon Moraes,167.64,Cory Sandhagen,180.34,12.7,Cory Sandhagen,alto
29,Ali AlQaisi,167.64,Tony Kelley,175.26,7.62,Tony Kelley,alto
30,Bruno Silva,162.56,Tagir Ulanbekov,167.64,5.08,Tagir Ulanbekov,alto
31,Jordan Williams,185.42,Nassourdine Imavov,190.5,5.08,Nassourdine Imavov,alto
32,Kai Kara-France,162.56,Brandon Royval,175.26,12.7,Brandon Royval,alto
33,Diego Sanchez,177.8,Jake Matthews,180.34,2.54,Jake Matthews,alto
34,Khadis Ibragimov,190.5,Danilo Marques,198.12,7.62,Danilo Marques,alto
35,Mirsad Bektic,172.72,Damon Jackson,180.34,7.62,Damon Jackson,alto
36,Journey Newson,165.1,Randy Costa,175.26,10.16,Randy Costa,alto
37,Brok Weaver,182.88,Jalin Turner,190.5,7.62,Jalin Turner,alto
38,Robbie Lawler,180.34,Neil Magny,190.5,10.16,Neil Magny,alto
39,Maki Pitolo,177.8,Impa Kasanganay,180.34,2.54,Impa Kasanganay,alto
40,Marcin Prachnio,190.5,Mike Rodriguez,193.04,2.54,Mike Rodriguez,alto
41,Ike Villanueva,185.42,Jordan Wright,187.96,2.54,Jordan Wright,alto
42,Carlton Minus,177.8,Matthew Semelsberger,185.42,7.62,Matthew Semelsberger,alto
43,Timur Valiev,167.64,Trevin Jones,170.18,2.54,Trevin Jones,alto
44,John Dodson,160.02,Merab Dvalishvili,167.64,7.62,Merab Dvalishvili,alto
45,Jim Miller,172.72,Vinc Pichel,177.8,5.08,Vinc Pichel,alto
46,Omari Akhmedov,182.88,Chris Weidman,187.96,5.08,Chris Weidman,alto
47,Maki Pitolo,177.8,Darren Stewart,182.88,5.08,Darren Stewart,alto
48,Lando Vannata,175.26,Bobby Green,177.8,2.54,Bobby Green,alto
49,Frankie Saenz,167.64,Jonathan Martinez,172.72,5.08,Jonathan Martinez,alto
50,Johnny Munoz,175.26,Nate Maness,177.8,2.54,Nate Maness,alto
51,Bethe Correia,165.1,Pannie Kianzad,170.18,5.08,Pannie Kianzad,alto
52,Alexandre Pantoja,165.1,Askar Askarov,167.64,2.54,Askar Askarov,alto
53,Joe Duffy,177.8,Joel Alvarez,190.5,12.7,Joel Alvarez,alto
54,Davi Ramos,167.64,Arman Tsarukyan,170.18,2.54,Arman Tsarukyan,alto
55,Carlos Felipe,182.88,Serghei Spivac,190.5,7.62,Serghei Spivac,alto
56,Molly McCann,162.56,Taila Santos,165.1,2.54,Taila Santos,alto
57,Abdul Razak Alhassan,177.8,Mounir Lazzez,185.42,7.62,Mounir Lazzez,alto
58,John Phillips,180.34,Khamzat Chimaev,187.96,7.62,Khamzat Chimaev,alto
59,Jessica Andrade,154.94,Rose Namajunas,165.1,10.16,Rose Namajunas,alto
60,Volkan Oezdemir,187.96,Jiri Prochazka,193.04,5.08,Jiri Prochazka,alto
61,Gian Villante,190.5,Maurice Greene,200.66,10.16,Maurice Greene,alto
62,Clay Guida,170.18,Bobby Green,177.8,7.62,Bobby Green,alto
63,Raphael Assuncao,165.1,Cody Garbrandt,172.72,7.62,Cody Garbrandt,alto
64,Eddie Wineland,170.18,Sean O'Malley,180.34,10.16,Sean O'Malley,alto
65,Jussier Formiga,165.1,Alex Perez,167.64,2.54,Alex Perez,alto
66,Tyron Woodley,175.26,Gilbert Burns,177.8,2.54,Gilbert Burns,alto
67,Blagoy Ivanov,180.34,Augusto Sakai,190.5,10.16,Augusto Sakai,alto
68,Tim Elliott,170.18,Brandon Royval,175.26,5.08,Brandon Royval,alto
69,Gabriel Benitez,172.72,Omar Morales,180.34,7.62,Omar Morales,alto
70,Jeremy Stephens,175.26,Calvin Kattar,180.34,5.08,Calvin Kattar,alto
71,Kevin Lee,175.26,Charles Oliveira,177.8,2.54,Charles Oliveira,alto
72,Jussier Formiga,165.1,Brandon Moreno,170.18,5.08,Brandon Moreno,alto
73,Mayra Bueno Silva,167.64,Maryna Moroz,170.18,2.54,Maryna Moroz,alto
74,Bruno Silva,162.56,David Dvorak,165.1,2.54,David Dvorak,alto
75,Veronica Macedo,162.56,Bea Malecki,175.26,12.7,Bea Malecki,alto
76,Jamall Emmers,177.8,Giga Chikadze,182.88,5.08,Giga Chikadze,alto
77,Joseph Benavidez,162.56,Deiveson Figueiredo,165.1,2.54,Deiveson Figueiredo,alto
78,Ion Cutelaba,185.42,Magomed Ankalaev,190.5,5.08,Magomed Ankalaev,alto
79,Gabriel Silva,167.64,Kyler Phillips,172.72,5.08,Kyler Phillips,alto
80,Paul Felder,180.34,Dan Hooker,182.88,2.54,Dan Hooker,alto
81,Karolina Kowalkiewicz,160.02,Yan Xiaonan,165.1,5.08,Yan Xiaonan,alto
82,Ben Sosoli,175.26,Marcos Rogerio De Lima,185.42,10.16,Marcos Rogerio De Lima,alto
83,Kevin Aguilar,170.18,Zubaira Tukhugov,172.72,2.54,Zubaira Tukhugov,alto
84,Loma Lookboonmee,154.94,Angela Hill,160.02,5.08,Angela Hill,alto
85,Bryan Barberena,182.88,Randy Brown,190.5,7.62,Randy Brown,alto
86,Matt Wiman,177.8,Luis Pena,190.5,12.7,Luis Pena,alto
87,Allen Crowder,190.5,Jairzinho Rozenstruik,193.04,2.54,Jairzinho Rozenstruik,alto
88,Diego Sanchez,177.8,Michael Chiesa,185.42,7.62,Michael Chiesa,alto
89,Alejandro Perez,167.64,Song Yadong,172.72,5.08,Song Yadong,alto
90,Ismail Naurdiev,177.8,Chance Rencountre,187.96,10.16,Chance Rencountre,alto
91,Jim Miller,172.72,Scott Holtzman,175.26,2.54,Scott Holtzman,alto
92,Mark De La Rosa,167.64,Raulian Paiva,172.72,5.08,Raulian Paiva,alto
93,Liu Pingyuan,167.64,Jonathan Martinez,172.72,5.08,Jonathan Martinez,alto
94,Rafael Dos Anjos,172.72,Leon Edwards,187.96,15.24,Leon Edwards,alto
95,Aleksei Oleinik,187.96,Walt Harris,195.58,7.62,Walt Harris,alto
96,Joaquim Silva,172.72,Nasrat Haqparast,177.8,5.08,Nasrat Haqparast,alto
97,Trevin Giles,182.88,Gerald Meerschaert,185.42,2.54,Gerald Meerschaert,alto
98,Darko Stosic,182.88,Kennedy Nzechukwu,195.58,12.7,Kennedy Nzechukwu,alto
99,Jordan Espinosa,167.64,Matt Schnell,172.72,5.08,Matt Schnell,alto
100,Alex Morono,180.34,Kalinn Williams,182.88,2.54,Kalinn Williams,alto
101,Miles Johns,170.18,Mario Bautista,175.26,5.08,Mario Bautista,alto
102,Tecia Torres,154.94,Marina Rodriguez,167.64,12.7,Marina Rodriguez,alto
103,Geraldo de Freitas,170.18,Chris Gutierrez,175.26,5.08,Chris Gutierrez,alto
104,Daniel Cormier,180.34,Stipe Miocic,193.04,12.7,Stipe Miocic,alto
105,Anthony Pettis,177.8,Nate Diaz,182.88,5.08,Nate Diaz,alto
106,Yoel Romero,182.88,Paulo Costa,185.42,2.54,Paulo Costa,alto
107,Gabriel Benitez,172.72,Sodiq Yusuff,175.26,2.54,Sodiq Yusuff,alto
108,Devonte Smith,175.26,Khama Worthy,180.34,5.08,Khama Worthy,alto
109,Raphael Assuncao,165.1,Cory Sandhagen,180.34,15.24,Cory Sandhagen,alto
110,Jessica Andrade,154.94,Zhang Weili,162.56,7.62,Zhang Weili,alto
111,Junyong Park,177.8,Anthony Hernandez,182.88,5.08,Anthony Hernandez,alto
112,Liana Jojua,162.56,Sarah Moras,170.18,7.62,Sarah Moras,alto
113,Brad Katona,167.64,Hunter Azure,172.72,5.08,Hunter Azure,alto
114,Martin Bravo,172.72,Steven Peterson,177.8,5.08,Steven Peterson,alto
115,Ariane Carnelossi,157.48,Angela Hill,160.02,2.54,Angela Hill,alto
116,Sijara Eubanks,162.56,Bethe Correia,165.1,2.54,Bethe Correia,alto
117,Michal Oleksiejczuk,182.88,Ovince Saint Preux,190.5,7.62,Ovince Saint Preux,alto
118,Alen Amedovski,177.8,John Phillips,180.34,2.54,John Phillips,alto
119,Alessio Di Chirico,182.88,Makhmud Muradov,187.96,5.08,Makhmud Muradov,alto
120,Brandon Davis,177.8,Giga Chikadze,182.88,5.08,Giga Chikadze,alto
121,Robert Whittaker,182.88,Israel Adesanya,193.04,10.16,Israel Adesanya,alto
122,Al Iaquinta,177.8,Dan Hooker,182.88,5.08,Dan Hooker,alto
123,Tai Tuivasa,187.96,Serghei Spivac,190.5,2.54,Serghei Spivac,alto
124,Luke Jumeau,180.34,Dhiego Lima,187.96,7.62,Dhiego Lima,alto
125,Nadia Kassem,165.1,Ji Yeon Kim,170.18,5.08,Ji Yeon Kim,alto
126,Rafael Dos Anjos,172.72,Michael Chiesa,185.42,12.7,Michael Chiesa,alto
127,Hannah Cifers,154.94,Angela Hill,160.02,5.08,Angela Hill,alto
128,Deron Winn,167.64,Darren Stewart,182.88,15.24,Darren Stewart,alto
129,Kyle Bochniak,170.18,Sean Woodson,187.96,17.78,Sean Woodson,alto
130,Kelvin Gastelum,175.26,Darren Till,182.88,7.62,Darren Till,alto
131,Brad Tavares,185.42,Edmen Shahbazyan,187.96,2.54,Edmen Shahbazyan,alto
132,Andrei Arlovski,190.5,Jairzinho Rozenstruik,193.04,2.54,Jairzinho Rozenstruik,alto
133,Julio Arce,170.18,Hakeem Dawodu,172.72,2.54,Hakeem Dawodu,alto
134,Zelim Imadaev,182.88,Danny Roberts,185.42,2.54,Danny Roberts,alto
135,Ramazan Emeev,177.8,Rocco Martin,182.88,5.08,Rocco Martin,alto
136,Roman Kopylov,182.88,Karl Roberson,185.42,2.54,Karl Roberson,alto
137,Abubakar Nurmagomedov,180.34,David Zawada,182.88,2.54,David Zawada,alto
138,Jessica-Rose Clark,165.1,Pannie Kianzad,170.18,5.08,Pannie Kianzad,alto
139,Grigorii Popov,170.18,Davey Grant,172.72,2.54,Davey Grant,alto
140,Sergio Moraes,182.88,James Krause,187.96,5.08,James Krause,alto
141,Warlley Alves,180.34,Randy Brown,190.5,10.16,Randy Brown,alto
142,Frankie Edgar,167.64,Chan Sung Jung,170.18,2.54,Chan Sung Jung,alto
143,Ketlen Vieira,172.72,Irene Aldana,175.26,2.54,Irene Aldana,alto
144,Ian Heinisch,180.34,Omari Akhmedov,182.88,2.54,Omari Akhmedov,alto
145,Thiago Alves,175.26,Tim Means,187.96,12.7,Tim Means,alto
146,Jimmie Rivera,162.56,Petr Yan,170.18,7.62,Petr Yan,alto
147,Karolina Kowalkiewicz,160.02,Alexa Grasso,165.1,5.08,Alexa Grasso,alto
148,Ricardo Lamas,172.72,Calvin Kattar,180.34,7.62,Calvin Kattar,alto
149,Jimi Manuwa,185.42,Aleksandar Rakic,193.04,7.62,Aleksandar Rakic,alto
150,Damir Hadzovic,175.26,Christos Giagos,177.8,2.54,Christos Giagos,alto
151,Rostem Akman,177.8,Sergey Khandozhko,185.42,7.62,Sergey Khandozhko,alto
152,Stevie Ray,177.8,Leonardo Santos,182.88,5.08,Leonardo Santos,alto
153,Nick Hein,167.64,Frank Camacho,177.8,10.16,Frank Camacho,alto
154,Thiago Alves,175.26,Laureano Staropoli,185.42,10.16,Laureano Staropoli,alto
155,Rogerio Nogueira,187.96,Ryan Spann,195.58,7.62,Ryan Spann,alto
156,Al Iaquinta,177.8,Donald Cerrone,185.42,7.62,Donald Cerrone,alto
157,Cub Swanson,172.72,Shane Burgos,180.34,7.62,Shane Burgos,alto
158,Mitch Gagnon,165.1,Cole Smith,180.34,15.24,Cole Smith,alto
159,John Lineker,160.02,Cory Sandhagen,180.34,20.32,Cory Sandhagen,alto
160,Court McGee,180.34,Dhiego Lima,187.96,7.62,Dhiego Lima,alto
161,Gadzhimurad Antigulov,180.34,Michal Oleksiejczuk,182.88,2.54,Michal Oleksiejczuk,alto
162,Kelvin Gastelum,175.26,Israel Adesanya,193.04,17.78,Israel Adesanya,alto
163,Alan Jouban,182.88,Dwight Grant,185.42,2.54,Dwight Grant,alto
164,Wilson Reis,162.56,Alexandre Pantoja,165.1,2.54,Alexandre Pantoja,alto
165,Lauren Mueller,165.1,Poliana Botelho,172.72,7.62,Poliana Botelho,alto
166,Ross Pearson,172.72,Desmond Green,177.8,5.08,Desmond Green,alto
167,Ray Borg,162.56,Casey Kenney,170.18,7.62,Casey Kenney,alto
168,Volkan Oezdemir,187.96,Dominick Reyes,193.04,5.08,Dominick Reyes,alto
169,Nicolae Negumereanu,182.88,Saparbeg Safarov,185.42,2.54,Saparbeg Safarov,alto
170,Derrick Lewis,190.5,Junior Dos Santos,193.04,2.54,Junior Dos Santos,alto
171,Tyron Woodley,175.26,Kamaru Usman,182.88,7.62,Kamaru Usman,alto
172,Tecia Torres,154.94,Weili Zhang,162.56,7.62,Weili Zhang,alto
173,Jeremy Stephens,172.72,Zabit Magomedsharipov,185.42,12.7,Zabit Magomedsharipov,alto
174,Misha Cirkunov,190.5,Johnny Walker,195.58,5.08,Johnny Walker,alto
175,Gina Mazany,167.64,Macy Chiasson,180.34,12.7,Macy Chiasson,alto
176,John Dodson,160.02,Petr Yan,170.18,10.16,Petr Yan,alto
177,Daniel Teymur,165.1,Chris Fishgold,172.72,7.62,Chris Fishgold,alto
178,Veronica Macedo,162.56,Gillian Robertson,165.1,2.54,Gillian Robertson,alto
179,Michel Prazeres,167.64,Ismail Naurdiev,177.8,10.16,Ismail Naurdiev,alto
180,Rustam Khabilov,172.72,Diego Ferreira,175.26,2.54,Diego Ferreira,alto
181,Jimmie Rivera,162.56,Aljamain Sterling,170.18,7.62,Aljamain Sterling,alto
182,Alexandra Albu,157.48,Emily Whitmire,165.1,7.62,Emily Whitmire,alto
183,Teruto Ishihara,170.18,Kyung Ho Kang,175.26,5.08,Kyung Ho Kang,alto
184,Callan Potter,182.88,Jalin Turner,190.5,7.62,Jalin Turner,alto
185,Raphael Assuncao,165.1,Marlon Moraes,167.64,2.54,Marlon Moraes,alto
186,Junior Albini,190.5,Jairzinho Rozenstruik,193.04,2.54,Jairzinho Rozenstruik,alto
187,Magomed Bibulatov,165.1,Rogerio Bontorin,167.64,2.54,Rogerio Bontorin,alto
188,Alexander Hernandez,175.26,Donald Cerrone,185.42,10.16,Donald Cerrone,alto
189,Ilir Latifi,177.8,Corey Anderson,190.5,12.7,Corey Anderson,alto
190,Cat Zingano,167.64,Megan Anderson,182.88,15.24,Megan Anderson,alto
191,BJ Penn,175.26,Ryan Hall,177.8,2.54,Ryan Hall,alto
192,Brian Kelleher,167.64,Montel Jackson,177.8,10.16,Montel Jackson,alto
193,Kevin Lee,175.26,Al Iaquinta,177.8,2.54,Al Iaquinta,alto
194,Jim Miller,172.72,Charles Oliveira,177.8,5.08,Charles Oliveira,alto
195,Adam Milstead,190.5,Mike Rodriguez,193.04,2.54,Mike Rodriguez,alto
196,Chris de la Rocha,190.5,Juan Adams,195.58,5.08,Juan Adams,alto
197,Jimi Manuwa,185.42,Thiago Santos,187.96,2.54,Thiago Santos,alto
198,Claudia Gadelha,162.56,Nina Ansaroff,165.1,2.54,Nina Ansaroff,alto
199,Olivier Aubin-Mercier,175.26,Gilbert Burns,177.8,2.54,Gilbert Burns,alto
200,Chad Laprise,177.8,Dhiego Lima,187.96,10.16,Dhiego Lima,alto
201,Devin Clark,182.88,Aleksandar Rakic,193.04,10.16,Aleksandar Rakic,alto
202,Mark Hunt,177.8,Justin Willis,185.42,7.62,Justin Willis,alto
203,Jake Matthews,180.34,Anthony Rocco Martin,182.88,2.54,Anthony Rocco Martin,alto
204,Mizuto Hirota,170.18,Christos Giagos,177.8,7.62,Christos Giagos,alto
205,Rafael Dos Anjos,172.72,Kamaru Usman,182.88,10.16,Kamaru Usman,alto
206,Pannie Kianzad,170.18,Macy Chiasson,180.34,10.16,Macy Chiasson,alto
207,Darren Stewart,182.88,Edmen Shahbazyan,187.96,5.08,Edmen Shahbazyan,alto
208,Ji Yeon Kim,170.18,Antonina Shevchenko,172.72,2.54,Antonina Shevchenko,alto
209,Su Mudaerji,172.72,Louis Smolka,175.26,2.54,Louis Smolka,alto
210,Khalil Rountree Jr.,185.42,Johnny Walker,195.58,10.16,Johnny Walker,alto
211,Guido Cannetti,167.64,Marlon Vera,172.72,5.08,Marlon Vera,alto
212,Humberto Bandenay,180.34,Austin Arnett,182.88,2.54,Austin Arnett,alto
213,Chan Sung Jung,170.18,Yair Rodriguez,180.34,10.16,Yair Rodriguez,alto
214,Raquel Pennington,170.18,Germaine de Randamie,175.26,5.08,Germaine de Randamie,alto
215,Derek Brunson,185.42,Israel Adesanya,193.04,7.62,Israel Adesanya,alto
216,Julio Arce,170.18,Sheymon Moraes,172.72,2.54,Sheymon Moraes,alto
217,Volkan Oezdemir,187.96,Anthony Smith,193.04,5.08,Anthony Smith,alto
218,Alex Garcia,175.26,Court McGee,180.34,5.08,Court McGee,alto
219,Te Edwards,172.72,Don Madge,182.88,10.16,Don Madge,alto
220,Ovince Saint Preux,190.5,Dominick Reyes,193.04,2.54,Dominick Reyes,alto
221,Renan Barao,167.64,Andre Ewell,172.72,5.08,Andre Ewell,alto
222,Luis Henrique,187.96,Ryan Spann,195.58,7.62,Ryan Spann,alto
223,Mark Hunt,177.8,Aleksei Oleinik,187.96,10.16,Aleksei Oleinik,alto
224,Adam Yandiev,175.26,Jordan Johnson,187.96,12.7,Jordan Johnson,alto
225,Carla Esparza,154.94,Tatiana Suarez,165.1,10.16,Tatiana Suarez,alto
226,Charles Byrd,177.8,Darren Stewart,182.88,5.08,Darren Stewart,alto
227,Jake Ellenberger,175.26,Bryan Barberena,182.88,7.62,Bryan Barberena,alto
228,Demetrious Johnson,160.02,Henry Cejudo,162.56,2.54,Henry Cejudo,alto
229,Cub Swanson,172.72,Renato Moicano,180.34,7.62,Renato Moicano,alto
230,Matt Sayles,170.18,Sheymon Moraes,172.72,2.54,Sheymon Moraes,alto
231,Danielle Taylor,152.4,Weili Zhang,162.56,10.16,Weili Zhang,alto
232,Gadzhimurad Antigulov,180.34,Ion Cutelaba,185.42,5.08,Ion Cutelaba,alto
233,Alexis Davis,167.64,Katlyn Chookagian,175.26,7.62,Katlyn Chookagian,alto
234,Randa Markos,162.56,Nina Ansaroff,165.1,2.54,Nina Ansaroff,alto
235,Mauricio Rua,185.42,Anthony Smith,193.04,7.62,Anthony Smith,alto
236,Glover Teixeira,187.96,Corey Anderson,190.5,2.54,Corey Anderson,alto
237,Nick Hein,167.64,Damir Hadzovic,175.26,7.62,Damir Hadzovic,alto
238,Emil Meek,180.34,Bartosz Fabinski,182.88,2.54,Bartosz Fabinski,alto
239,Khalid Taha,165.1,Nad Narimani,172.72,7.62,Nad Narimani,alto
240,Davey Grant,172.72,Manny Bermudez,177.8,5.08,Manny Bermudez,alto
241,Damian Stasiak,165.1,Liu Pingyuan,167.64,2.54,Liu Pingyuan,alto
242,Dennis Bermudez,167.64,Rick Glenn,182.88,15.24,Rick Glenn,alto
243,Justin Scoggins,170.18,Said Nurmagomedov,172.72,2.54,Said Nurmagomedov,alto
244,Gokhan Saki,182.88,Khalil Rountree Jr.,185.42,2.54,Khalil Rountree Jr.,alto
245,Uriah Hall,182.88,Paulo Costa,185.42,2.54,Paulo Costa,alto
246,Jamie Moyle,154.94,Emily Whitmire,165.1,10.16,Emily Whitmire,alto
247,Brad Tavares,185.42,Israel Adesanya,193.04,7.62,Israel Adesanya,alto
248,Tyler Diamond,170.18,Bryce Mitchell,177.8,7.62,Bryce Mitchell,alto
249,Jessica-Rose Clark,165.1,Jessica Eye,167.64,2.54,Jessica Eye,alto
250,Shinsho Anzai,170.18,Jake Matthews,180.34,10.16,Jake Matthews,alto
251,Viviane Pereira,154.94,Yan Xiaonan,165.1,10.16,Yan Xiaonan,alto
252,Jenel Lausa,165.1,Ulka Sasaki,177.8,12.7,Ulka Sasaki,alto
253,Rafael Dos Anjos,172.72,Colby Covington,180.34,7.62,Colby Covington,alto
254,CM Punk,185.42,Mike Jackson,187.96,2.54,Mike Jackson,alto
255,Rashad Coulter,180.34,Chris de la Rocha,190.5,10.16,Chris de la Rocha,alto
256,Rashad Evans,182.88,Anthony Smith,193.04,10.16,Anthony Smith,alto
257,Joseph Benavidez,162.56,Sergio Pettis,167.64,5.08,Sergio Pettis,alto
258,Clay Guida,170.18,Charles Oliveira,177.8,7.62,Charles Oliveira,alto
259,Jimmie Rivera,162.56,Marlon Moraes,167.64,5.08,Marlon Moraes,alto
260,Jake Ellenberger,175.26,Ben Saunders,187.96,12.7,Ben Saunders,alto
261,Nik Lentz,172.72,David Teymur,175.26,2.54,David Teymur,alto
262,Jarred Brooks,160.02,Jose Torres,162.56,2.54,Jose Torres,alto
263,Daniel Kelly,182.88,Tom Breese,190.5,7.62,Tom Breese,alto
264,Jared Cannonier,180.34,Dominick Reyes,193.04,12.7,Dominick Reyes,alto
265,Veronica Macedo,162.56,Andrea Lee,167.64,5.08,Andrea Lee,alto
266,Vitor Belfort,182.88,Lyoto Machida,185.42,2.54,Lyoto Machida,alto
267,Jim Miller,172.72,Dan Hooker,182.88,10.16,Dan Hooker,alto
268,Tim Boetsch,182.88,Antonio Carlos Junior,187.96,5.08,Antonio Carlos Junior,alto
269,Wilson Reis,162.56,John Moraga,167.64,5.08,John Moraga,alto
270,Arjan Bhullar,185.42,Adam Wieczorek,195.58,10.16,Adam Wieczorek,alto
271,Bec Rawlings,167.64,Ashlee Evans-Smith,172.72,5.08,Ashlee Evans-Smith,alto
272,Fabricio Werdum,193.04,Alexander Volkov,200.66,7.62,Alexander Volkov,alto
273,Jimi Manuwa,185.42,Jan Blachowicz,187.96,2.54,Jan Blachowicz,alto
274,Stevie Ray,177.8,Kajan Johnson,180.34,2.54,Kajan Johnson,alto
275,Frankie Edgar,167.64,Brian Ortega,172.72,5.08,Brian Ortega,alto
276,Cat Zingano,167.64,Ketlen Vieira,172.72,5.08,Ketlen Vieira,alto
277,Josh Emmett,167.64,Jeremy Stephens,172.72,5.08,Jeremy Stephens,alto
278,Mike Perry,177.8,Max Griffin,180.34,2.54,Max Griffin,alto
279,Albert Morales,175.26,Manny Bermudez,177.8,2.54,Manny Bermudez,alto
280,Thiago Alves,175.26,Curtis Millender,187.96,12.7,Curtis Millender,alto
281,Sarah Moras,170.18,Lucie Pudilova,172.72,2.54,Lucie Pudilova,alto
282,Joshua Burkman,177.8,Alex Morono,180.34,2.54,Alex Morono,alto
283,Mark Hunt,177.8,Curtis Blaydes,193.04,15.24,Curtis Blaydes,alto
284,Damien Brown,177.8,Dong Hyun Ma,180.34,2.54,Dong Hyun Ma,alto
285,Rob Wilkinson,190.5,Israel Adesanya,193.04,2.54,Israel Adesanya,alto
286,Teruto Ishihara,170.18,Jose Quinonez,172.72,2.54,Jose Quinonez,alto
287,Maia Stevenson,162.56,Polyana Viana,165.1,2.54,Polyana Viana,alto
288,Dennis Bermudez,167.64,Andre Fili,180.34,12.7,Andre Fili,alto
289,Justine Kish,165.1,Ji Yeon Kim,170.18,5.08,Ji Yeon Kim,alto
290,Thomas Almeida,170.18,Rob Font,172.72,2.54,Rob Font,alto
291,Paige VanZant,162.56,Jessica-Rose Clark,165.1,2.54,Jessica-Rose Clark,alto
292,Matt Frevola,175.26,Polo Reyes,180.34,5.08,Polo Reyes,alto
293,Talita Bernardo,162.56,Irene Aldana,175.26,12.7,Irene Aldana,alto
294,Danielle Taylor,152.4,JJ Aldrich,165.1,12.7,JJ Aldrich,alto
295,Carlos Condit,187.96,Neil Magny,190.5,2.54,Neil Magny,alto
296,Jared Cannonier,180.34,Jan Blachowicz,187.96,7.62,Jan Blachowicz,alto
297,Albert Morales,175.26,Benito Lopez,177.8,2.54,Benito Lopez,alto
298,Luke Sanders,167.64,Andre Soukhamthath,175.26,7.62,Andre Soukhamthath,alto
299,Carls John De Tomas,165.1,Alex Perez,167.64,2.54,Alex Perez,alto
300,Charles Oliveira,177.8,Paul Felder,180.34,2.54,Paul Felder,alto
301,Jeremy Kimball,182.88,Dominick Reyes,193.04,10.16,Dominick Reyes,alto
302,Barb Honchak,162.56,Lauren Murphy,170.18,7.62,Lauren Murphy,alto
303,Joe Soto,167.64,Brett Johns,170.18,2.54,Brett Johns,alto
304,Andrew Sanchez,185.42,Ryan Janes,190.5,5.08,Ryan Janes,alto
305,Kailin Curran,162.56,Yan Xiaonan,165.1,2.54,Yan Xiaonan,alto
306,Rashad Coulter,180.34,Tai Tuivasa,187.96,7.62,Tai Tuivasa,alto
307,Alex Chambers,160.02,Nadia Kassem,165.1,5.08,Nadia Kassem,alto
308,Jenel Lausa,165.1,Eric Shelton,167.64,2.54,Eric Shelton,alto
309,Nate Marquardt,182.88,Cezar Ferreira,185.42,2.54,Cezar Ferreira,alto
310,John Dodson,160.02,Marlon Moraes,167.64,7.62,Marlon Moraes,alto
311,Angela Hill,160.02,Nina Ansaroff,165.1,5.08,Nina Ansaroff,alto
312,Court McGee,180.34,Sean Strickland,185.42,5.08,Sean Strickland,alto
313,Darren Stewart,182.88,Karl Roberson,185.42,2.54,Karl Roberson,alto
314,Johny Hendricks,175.26,Paulo Costa,185.42,10.16,Paulo Costa,alto
315,Aleksei Oleinik,187.96,Curtis Blaydes,193.04,5.08,Curtis Blaydes,alto
316,Aiemann Zahabi,172.72,Ricardo Ramos,175.26,2.54,Ricardo Ramos,alto
