,weight_class
1608,Women's Strawweight
1614,Women's Strawweight
1627,Women's Bantamweight
1632,Women's Bantamweight
1633,Women's Bantamweight
1640,Women's Bantamweight
1651,Women's Strawweight
1663,Women's Featherweight
1670,Women's Strawweight
1687,Women's Strawweight
1697,Women's Bantamweight
1714,Women's Strawweight
1717,Women's Strawweight
1721,Women's Strawweight
1730,Women's Bantamweight
1740,Women's Bantamweight
1751,Women's Strawweight
1753,Women's Strawweight
1760,Women's Strawweight
1775,Women's Strawweight
1782,Women's Strawweight
1794,Women's Strawweight
1795,Women's Bantamweight
1799,Women's Strawweight
1810,Women's Bantamweight
1813,Women's Strawweight
1822,Women's Bantamweight
1834,Women's Bantamweight
1848,Women's Strawweight
1860,Women's Bantamweight
1863,Women's Strawweight
1867,Women's Featherweight
1878,Women's Strawweight
1882,Women's Strawweight
1885,Women's Strawweight
1887,Women's Bantamweight
1907,Women's Strawweight
1911,Women's Bantamweight
1920,Women's Strawweight
1929,Women's Bantamweight
1940,Women's Strawweight
1949,Women's Strawweight
1956,Women's Strawweight
1961,Women's Bantamweight
1966,Women's Strawweight
1974,Women's Strawweight
1984,Women's Strawweight
2000,Women's Strawweight
2003,Women's Bantamweight
2007,Women's Strawweight
2009,Women's Bantamweight
2015,Women's Bantamweight
2021,Women's Strawweight
2051,Women's Bantamweight
2080,Women's Strawweight
2081,Women's Bantamweight
2092,Women's Bantamweight
2098,Women's Strawweight
2112,Women's Bantamweight
2114,Women's Strawweight
2123,Women's Strawweight
2131,Women's Strawweight
2140,Women's Bantamweight
2143,Women's Strawweight
2157,Women's Bantamweight
2159,Women's Strawweight
2163,Women's Bantamweight
2167,Women's Bantamweight
2174,Women's Strawweight
2176,Women's Strawweight
2202,Women's Flyweight
2208,Women's Strawweight
2218,Women's Strawweight
2229,Women's Bantamweight
2249,Women's Bantamweight
2251,Women's Strawweight
2266,Women's Strawweight
2272,Women's Strawweight
2276,Women's Bantamweight
2287,Women's Strawweight
2300,Women's Strawweight
2303,Women's Bantamweight
2308,Women's Bantamweight
2311,Women's Bantamweight
2342,Women's Bantamweight
2343,Women's Bantamweight
2389,Women's Strawweight
2397,Women's Strawweight
2400,Women's Bantamweight
2412,Women's Strawweight
2428,Women's Strawweight
2438,Women's Strawweight
2446,Women's Strawweight
2463,Women's Bantamweight
2464,Women's Strawweight
2493,Women's Strawweight
2502,Women's Bantamweight
2506,Women's Strawweight
2523,Women's Strawweight
2526,Women's Bantamweight
2535,Women's Strawweight
2546,Women's Bantamweight
2555,Women's Bantamweight
2561,Women's Strawweight
2569,Women's Bantamweight
2578,Women's Bantamweight
2583,Women's Strawweight
2594,Women's Bantamweight
2599,Women's Bantamweight
2608,Women's Strawweight
2635,Women's Strawweight
2650,Women's Strawweight
2678,Women's Strawweight
2710,Women's Strawweight
2712,Women's Strawweight
2721,Women's Bantamweight
2725,Women's Strawweight
2726,Women's Strawweight
2730,Women's Strawweight
2741,Women's Strawweight
2747,Women's Strawweight
2753,Women's Bantamweight
2756,Women's Bantamweight
2763,Women's Bantamweight
2772,Women's Strawweight
2782,Women's Bantamweight
2783,Women's Bantamweight
2784,Women's Bantamweight
2799,Women's Bantamweight
2818,Women's Bantamweight
2857,Women's Bantamweight
2874,Women's Strawweight
2882,Women's Strawweight
